,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure the answer is: [Y],0.19037871033776868,No,P103
1,Does [W] speak [X] as a native language? I am pretty sure the answer is: [Y],0.29887410440122825,No,P103
2,Is [X] [W]'s mother tongue? I am pretty sure the answer is: [Y],0.044012282497441144,No,P103
3,Is [X] [W]'s native language? I am pretty sure the answer is: [Y],0.04247697031729785,No,P103
4,Does [W] work for [X]? I am pretty sure the answer is: [Y],0.4086161879895561,No,P108
5,Is [W] employed by [X]? I am pretty sure the answer is: [Y],0.489556135770235,No,P108
6,Did [W] originate from [X]? I am pretty sure the answer is: [Y],0.0736228813559322,No,P19
7,Does [W] originate from [X]? I am pretty sure the answer is: [Y],0.05455508474576271,No,P19
8,Is [W] a [X]-born person? I am pretty sure the answer is: [Y],0.4014830508474576,No,P19
9,Is [W] an [X]-born person? I am pretty sure the answer is: [Y],0.4088983050847458,No,P19
10,Is [W] native to [X]? I am pretty sure the answer is: [Y],0.030190677966101694,No,P19
11,Is [W] originally from [X]? I am pretty sure the answer is: [Y],0.005296610169491525,No,P19
12,Is [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.034957627118644065,No,P19
13,Is [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.1721398305084746,No,P19
14,Was [W] a [X]-born person? I am pretty sure the answer is: [Y],0.2505296610169492,No,P19
15,Was [W] an [X]-born person? I am pretty sure the answer is: [Y],0.21822033898305085,No,P19
16,Was [W] born in [X]? I am pretty sure the answer is: [Y],0.13559322033898305,No,P19
17,Was [W] native to [X]? I am pretty sure the answer is: [Y],0.00847457627118644,No,P19
18,Was [W] originally from [X]? I am pretty sure the answer is: [Y],0.029661016949152543,No,P19
19,Was [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.0625,No,P19
20,Was [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.1138771186440678,No,P19
21,Did [W] die at [X]? I am pretty sure the answer is: [Y],0.44123819517313745,No,P20
22,Did [W] die in [X]? I am pretty sure the answer is: [Y],0.4359916054564533,No,P20
23,Did [W] expire at [X]? I am pretty sure the answer is: [Y],0.4895068205666317,No,P20
24,Did [W] expire in [X]? I am pretty sure the answer is: [Y],0.4727177334732424,No,P20
25,Did [W] lose their life at [X]? I am pretty sure the answer is: [Y],0.48688352570828963,No,P20
26,Did [W] lose their life in [X]? I am pretty sure the answer is: [Y],0.4895068205666317,No,P20
27,Did [W] pass away at [X]? I am pretty sure the answer is: [Y],0.4050367261280168,No,P20
28,Did [W] pass away in [X]? I am pretty sure the answer is: [Y],0.3830010493179433,No,P20
29,Did [W] succumb at [X]? I am pretty sure the answer is: [Y],0.4947534102833158,No,P20
30,Did [W] succumb in [X]? I am pretty sure the answer is: [Y],0.4842602308499475,No,P20
31,Did [W]'s life end at [X]? I am pretty sure the answer is: [Y],0.4842602308499475,No,P20
32,Did [W]'s life end in [X]? I am pretty sure the answer is: [Y],0.45383001049317945,No,P20
33,Is [X] [W]'s death location? I am pretty sure the answer is: [Y],0.14795383001049317,No,P20
34,Is [X] [W]'s death place? I am pretty sure the answer is: [Y],0.2953830010493179,No,P20
35,Is [X] [W]'s place of death? I am pretty sure the answer is: [Y],0.4690451206715635,No,P20
36,Was [X] [W]'s death location? I am pretty sure the answer is: [Y],0.17156348373557187,No,P20
37,Was [X] [W]'s death place? I am pretty sure the answer is: [Y],0.2796432318992655,No,P20
38,Was [X] [W]'s place of death? I am pretty sure the answer is: [Y],0.4527806925498426,No,P20
39,Does [W] belong to continent [X]? I am pretty sure the answer is: [Y],0.49743589743589745,No,P30
40,Does [W] belong to the continent of [X]? I am pretty sure the answer is: [Y],0.498974358974359,No,P30
41,Is [W] a part of continent [X]? I am pretty sure the answer is: [Y],0.4317948717948718,No,P30
42,Is [W] a part of the continent [X]? I am pretty sure the answer is: [Y],0.4897435897435897,No,P30
43,Is [W] a part of the continent of [X]? I am pretty sure the answer is: [Y],0.45384615384615384,No,P30
44,Is [W] located in [X]? I am pretty sure the answer is: [Y],0.46974358974358976,No,P30
45,Is [W] located in continent [X]? I am pretty sure the answer is: [Y],0.4846153846153846,No,P30
46,Is [W] located in the [X] continent? I am pretty sure the answer is: [Y],0.47897435897435897,No,P30
47,Is [W] located in the continent [X]? I am pretty sure the answer is: [Y],0.49025641025641026,No,P30
48,Is [W] part of the [X] continent? I am pretty sure the answer is: [Y],0.35384615384615387,No,P30
49,Is [X] [W]'s continent? I am pretty sure the answer is: [Y],0.4461538461538462,No,P30
50,Is [X] the continent of [W]? I am pretty sure the answer is: [Y],0.44564102564102565,No,P30
51,Did [W] have the [X] position? I am pretty sure the answer is: [Y],0.48710762331838564,No,P39
52,Did [W] have the [X] role? I am pretty sure the answer is: [Y],0.4758968609865471,No,P39
53,Did [W] have the official [X] position? I am pretty sure the answer is: [Y],0.49271300448430494,No,P39
54,Did [W] have the official [X] role? I am pretty sure the answer is: [Y],0.4899103139013453,No,P39
55,Did [W] have the official position of [X]? I am pretty sure the answer is: [Y],0.4854260089686099,No,P39
56,Did [W] have the official role of [X]? I am pretty sure the answer is: [Y],0.45683856502242154,No,P39
57,Did [W] have the position of [X]? I am pretty sure the answer is: [Y],0.45964125560538116,No,P39
58,Did [W] have the public [X] position? I am pretty sure the answer is: [Y],0.48374439461883406,No,P39
59,Did [W] have the public [X] role? I am pretty sure the answer is: [Y],0.47477578475336324,No,P39
60,Did [W] have the public position of [X]? I am pretty sure the answer is: [Y],0.4579596412556054,No,P39
61,Did [W] have the public role of [X]? I am pretty sure the answer is: [Y],0.40639013452914796,No,P39
62,Did [W] have the role of [X]? I am pretty sure the answer is: [Y],0.4131165919282511,No,P39
63,Did [W] hold the [X] position? I am pretty sure the answer is: [Y],0.48150224215246634,No,P39
64,Did [W] hold the [X] role? I am pretty sure the answer is: [Y],0.4697309417040359,No,P39
65,Did [W] hold the official [X] position? I am pretty sure the answer is: [Y],0.492152466367713,No,P39
66,Did [W] hold the official [X] role? I am pretty sure the answer is: [Y],0.4904708520179372,No,P39
67,Did [W] hold the official position of [X]? I am pretty sure the answer is: [Y],0.48094170403587444,No,P39
68,Did [W] hold the official role of [X]? I am pretty sure the answer is: [Y],0.47085201793721976,No,P39
69,Did [W] hold the position of [X]? I am pretty sure the answer is: [Y],0.45739910313901344,No,P39
70,Did [W] hold the public [X] position? I am pretty sure the answer is: [Y],0.48934977578475336,No,P39
71,Did [W] hold the public [X] role? I am pretty sure the answer is: [Y],0.48150224215246634,No,P39
72,Did [W] hold the public position of [X]? I am pretty sure the answer is: [Y],0.4792600896860987,No,P39
73,Did [W] hold the public role of [X]? I am pretty sure the answer is: [Y],0.4624439461883408,No,P39
74,Did [W] hold the role of [X]? I am pretty sure the answer is: [Y],0.422085201793722,No,P39
75,Did [W] officially hold the [X] position? I am pretty sure the answer is: [Y],0.4960762331838565,No,P39
76,Did [W] officially hold the [X] role? I am pretty sure the answer is: [Y],0.49551569506726456,No,P39
77,Did [W] officially hold the position of [X]? I am pretty sure the answer is: [Y],0.48094170403587444,No,P39
