,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? obviously [Y],0.3428863868986694,No,P103
1,Does [W] speak [X] as a native language? obviously [Y],0.44012282497441146,No,P103
2,Is [X] [W]'s mother tongue? obviously [Y],0.4293756397134084,No,P103
3,Is [X] [W]'s native language? obviously [Y],0.4795291709314227,No,P103
4,Does [W] work for [X]? obviously [Y],0.5,No,P108
5,Is [W] employed by [X]? obviously [Y],0.49869451697127937,No,P108
6,Did [W] originate from [X]? obviously [Y],0.3130296610169492,No,P19
7,Does [W] originate from [X]? obviously [Y],0.3469279661016949,No,P19
8,Is [W] a [X]-born person? obviously [Y],0.4433262711864407,No,P19
9,Is [W] an [X]-born person? obviously [Y],0.4518008474576271,No,P19
10,Is [W] native to [X]? obviously [Y],0.4851694915254237,No,P19
11,Is [W] originally from [X]? obviously [Y],0.493114406779661,No,P19
12,Is [X] [W]'s birthplace? obviously [Y],0.493114406779661,No,P19
13,Is [X] [W]'s place of birth? obviously [Y],0.4947033898305085,No,P19
14,Was [W] a [X]-born person? obviously [Y],0.4581567796610169,No,P19
15,Was [W] an [X]-born person? obviously [Y],0.4597457627118644,No,P19
16,Was [W] born in [X]? obviously [Y],0.4804025423728814,No,P19
17,Was [W] native to [X]? obviously [Y],0.4904661016949153,No,P19
18,Was [W] originally from [X]? obviously [Y],0.4973516949152542,No,P19
19,Was [X] [W]'s birthplace? obviously [Y],0.4973516949152542,No,P19
20,Was [X] [W]'s place of birth? obviously [Y],0.4984110169491525,No,P19
21,Did [W] die at [X]? obviously [Y],0.49370409233997903,No,P20
22,Did [W] die in [X]? obviously [Y],0.4931794333683106,No,P20
23,Did [W] expire at [X]? obviously [Y],0.5,No,P20
24,Did [W] expire in [X]? obviously [Y],0.49790136411332636,No,P20
25,Did [W] lose their life at [X]? obviously [Y],0.472193074501574,No,P20
26,Did [W] lose their life in [X]? obviously [Y],0.4706190975865687,No,P20
27,Did [W] pass away at [X]? obviously [Y],0.49580272822665267,No,P20
28,Did [W] pass away in [X]? obviously [Y],0.49213011542497376,No,P20
29,Did [W] succumb at [X]? obviously [Y],0.48478488982161594,No,P20
30,Did [W] succumb in [X]? obviously [Y],0.4863588667366212,No,P20
31,Did [W]'s life end at [X]? obviously [Y],0.4931794333683106,No,P20
32,Did [W]'s life end in [X]? obviously [Y],0.4910807974816369,No,P20
33,Is [X] [W]'s death location? obviously [Y],0.5,No,P20
34,Is [X] [W]'s death place? obviously [Y],0.4994753410283316,No,P20
35,Is [X] [W]'s place of death? obviously [Y],0.4994753410283316,No,P20
36,Was [X] [W]'s death location? obviously [Y],0.5,No,P20
37,Was [X] [W]'s death place? obviously [Y],0.5,No,P20
38,Was [X] [W]'s place of death? obviously [Y],0.49842602308499473,No,P20
39,Does [W] belong to continent [X]? obviously [Y],0.49948717948717947,No,P30
40,Does [W] belong to the continent of [X]? obviously [Y],0.4938461538461538,No,P30
41,Is [W] a part of continent [X]? obviously [Y],0.5,No,P30
42,Is [W] a part of the continent [X]? obviously [Y],0.5,No,P30
43,Is [W] a part of the continent of [X]? obviously [Y],0.498974358974359,No,P30
44,Is [W] located in [X]? obviously [Y],0.49948717948717947,No,P30
45,Is [W] located in continent [X]? obviously [Y],0.5,No,P30
46,Is [W] located in the [X] continent? obviously [Y],0.498974358974359,No,P30
47,Is [W] located in the continent [X]? obviously [Y],0.49948717948717947,No,P30
48,Is [W] part of the [X] continent? obviously [Y],0.49948717948717947,No,P30
49,Is [X] [W]'s continent? obviously [Y],0.5,No,P30
50,Is [X] the continent of [W]? obviously [Y],0.49948717948717947,No,P30
51,Did [W] have the [X] position? obviously [Y],0.49887892376681614,No,P39
52,Did [W] have the [X] role? obviously [Y],0.49495515695067266,No,P39
53,Did [W] have the official [X] position? obviously [Y],0.5,No,P39
54,Did [W] have the official [X] role? obviously [Y],0.49831838565022424,No,P39
55,Did [W] have the official position of [X]? obviously [Y],0.48934977578475336,No,P39
56,Did [W] have the official role of [X]? obviously [Y],0.4859865470852018,No,P39
57,Did [W] have the position of [X]? obviously [Y],0.4904708520179372,No,P39
58,Did [W] have the public [X] position? obviously [Y],0.492152466367713,No,P39
59,Did [W] have the public [X] role? obviously [Y],0.4882286995515695,No,P39
60,Did [W] have the public position of [X]? obviously [Y],0.4422645739910314,No,P39
61,Did [W] have the public role of [X]? obviously [Y],0.4495515695067265,No,P39
62,Did [W] have the role of [X]? obviously [Y],0.4792600896860987,No,P39
63,Did [W] hold the [X] position? obviously [Y],0.492152466367713,No,P39
64,Did [W] hold the [X] role? obviously [Y],0.48374439461883406,No,P39
65,Did [W] hold the official [X] position? obviously [Y],0.49551569506726456,No,P39
66,Did [W] hold the official [X] role? obviously [Y],0.4943946188340807,No,P39
67,Did [W] hold the official position of [X]? obviously [Y],0.48374439461883406,No,P39
68,Did [W] hold the official role of [X]? obviously [Y],0.47141255605381166,No,P39
69,Did [W] hold the position of [X]? obviously [Y],0.46917040358744394,No,P39
70,Did [W] hold the public [X] position? obviously [Y],0.484304932735426,No,P39
71,Did [W] hold the public [X] role? obviously [Y],0.4742152466367713,No,P39
72,Did [W] hold the public position of [X]? obviously [Y],0.3806053811659193,No,P39
73,Did [W] hold the public role of [X]? obviously [Y],0.38172645739910316,No,P39
