,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am sure my answer is: [Y],0.27379733879222107,no,P103
1,Does [W] speak [X] as a native language? I am sure my answer is: [Y],0.14227226202661208,no,P103
2,Is [X] [W]'s mother tongue? I am sure my answer is: [Y],0.0,no,P103
3,Is [X] [W]'s native language? I am sure my answer is: [Y],0.0015353121801432957,no,P103
4,Does [W] work for [X]? I am sure my answer is: [Y],0.08746736292428199,no,P108
5,Is [W] employed by [X]? I am sure my answer is: [Y],0.15535248041775457,no,P108
6,Did [W] originate from [X]? I am sure my answer is: [Y],0.001059322033898305,no,P19
7,Does [W] originate from [X]? I am sure my answer is: [Y],0.0005296610169491525,no,P19
8,Is [W] a [X]-born person? I am sure my answer is: [Y],0.02754237288135593,no,P19
9,Is [W] an [X]-born person? I am sure my answer is: [Y],0.01641949152542373,no,P19
10,Is [W] native to [X]? I am sure my answer is: [Y],0.0005296610169491525,no,P19
11,Is [W] originally from [X]? I am sure my answer is: [Y],0.0,no,P19
12,Is [X] [W]'s birthplace? I am sure my answer is: [Y],0.0,no,P19
13,Is [X] [W]'s place of birth? I am sure my answer is: [Y],0.0005296610169491525,no,P19
14,Was [W] a [X]-born person? I am sure my answer is: [Y],0.00423728813559322,no,P19
15,Was [W] an [X]-born person? I am sure my answer is: [Y],0.0026483050847457626,no,P19
16,Was [W] born in [X]? I am sure my answer is: [Y],0.0031779661016949155,no,P19
17,Was [W] native to [X]? I am sure my answer is: [Y],0.0,no,P19
18,Was [W] originally from [X]? I am sure my answer is: [Y],0.0,no,P19
19,Was [X] [W]'s birthplace? I am sure my answer is: [Y],0.0,no,P19
20,Was [X] [W]'s place of birth? I am sure my answer is: [Y],0.0,no,P19
21,Did [W] die at [X]? I am sure my answer is: [Y],0.30272822665267574,no,P20
22,Did [W] die in [X]? I am sure my answer is: [Y],0.2660020986358867,no,P20
23,Did [W] expire at [X]? I am sure my answer is: [Y],0.45015739769150054,no,P20
24,Did [W] expire in [X]? I am sure my answer is: [Y],0.3898216159496327,no,P20
25,Did [W] lose their life at [X]? I am sure my answer is: [Y],0.4181532004197272,no,P20
26,Did [W] lose their life in [X]? I am sure my answer is: [Y],0.3719832109129066,no,P20
27,Did [W] pass away at [X]? I am sure my answer is: [Y],0.2733473242392445,no,P20
28,Did [W] pass away in [X]? I am sure my answer is: [Y],0.2539349422875131,no,P20
29,Did [W] succumb at [X]? I am sure my answer is: [Y],0.47796432318992654,no,P20
30,Did [W] succumb in [X]? I am sure my answer is: [Y],0.45068205666316896,no,P20
