,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? obviously [Y],0.5,no,P103
1,Does [W] speak [X] as a native language? obviously [Y],0.5,no,P103
2,Is [X] [W]'s mother tongue? obviously [Y],0.5,no,P103
3,Is [X] [W]'s native language? obviously [Y],0.5,no,P103
4,Does [W] work for [X]? obviously [Y],0.5,no,P108
5,Is [W] employed by [X]? obviously [Y],0.5,no,P108
6,Did [W] originate from [X]? obviously [Y],0.4751059322033898,no,P19
7,Does [W] originate from [X]? obviously [Y],0.4655720338983051,no,P19
8,Is [W] a [X]-born person? obviously [Y],0.5,no,P19
9,Is [W] an [X]-born person? obviously [Y],0.5,no,P19
10,Is [W] native to [X]? obviously [Y],0.5,no,P19
11,Is [W] originally from [X]? obviously [Y],0.5,no,P19
12,Is [X] [W]'s birthplace? obviously [Y],0.5,no,P19
13,Is [X] [W]'s place of birth? obviously [Y],0.5,no,P19
14,Was [W] a [X]-born person? obviously [Y],0.5,no,P19
15,Was [W] an [X]-born person? obviously [Y],0.5,no,P19
16,Was [W] born in [X]? obviously [Y],0.5,no,P19
17,Was [W] native to [X]? obviously [Y],0.5,no,P19
18,Was [W] originally from [X]? obviously [Y],0.5,no,P19
19,Was [X] [W]'s birthplace? obviously [Y],0.5,no,P19
20,Was [X] [W]'s place of birth? obviously [Y],0.5,no,P19
21,Did [W] die at [X]? obviously [Y],0.5,no,P20
22,Did [W] die in [X]? obviously [Y],0.5,no,P20
23,Did [W] expire at [X]? obviously [Y],0.5,no,P20
24,Did [W] expire in [X]? obviously [Y],0.5,no,P20
25,Did [W] lose their life at [X]? obviously [Y],0.5,no,P20
26,Did [W] lose their life in [X]? obviously [Y],0.5,no,P20
27,Did [W] pass away at [X]? obviously [Y],0.5,no,P20
28,Did [W] pass away in [X]? obviously [Y],0.5,no,P20
29,Did [W] succumb at [X]? obviously [Y],0.5,no,P20
30,Did [W] succumb in [X]? obviously [Y],0.5,no,P20
31,Did [W]'s life end at [X]? obviously [Y],0.5,no,P20
32,Did [W]'s life end in [X]? obviously [Y],0.5,no,P20
33,Is [X] [W]'s death location? obviously [Y],0.5,no,P20
34,Is [X] [W]'s death place? obviously [Y],0.5,no,P20
35,Is [X] [W]'s place of death? obviously [Y],0.5,no,P20
36,Was [X] [W]'s death location? obviously [Y],0.5,no,P20
37,Was [X] [W]'s death place? obviously [Y],0.5,no,P20
38,Was [X] [W]'s place of death? obviously [Y],0.5,no,P20
39,Does [W] belong to continent [X]? obviously [Y],0.49948717948717947,no,P30
40,Does [W] belong to the continent of [X]? obviously [Y],0.49948717948717947,no,P30
41,Is [W] a part of continent [X]? obviously [Y],0.5,no,P30
42,Is [W] a part of the continent [X]? obviously [Y],0.5,no,P30
43,Is [W] a part of the continent of [X]? obviously [Y],0.5,no,P30
44,Is [W] located in [X]? obviously [Y],0.5,no,P30
45,Is [W] located in continent [X]? obviously [Y],0.5,no,P30
46,Is [W] located in the [X] continent? obviously [Y],0.5,no,P30
47,Is [W] located in the continent [X]? obviously [Y],0.5,no,P30
48,Is [W] part of the [X] continent? obviously [Y],0.5,no,P30
49,Is [X] [W]'s continent? obviously [Y],0.5,no,P30
50,Is [X] the continent of [W]? obviously [Y],0.5,no,P30
51,Did [W] have the [X] position? obviously [Y],0.5,no,P39
52,Did [W] have the [X] role? obviously [Y],0.5,no,P39
53,Did [W] have the official [X] position? obviously [Y],0.5,no,P39
54,Did [W] have the official [X] role? obviously [Y],0.5,no,P39
55,Did [W] have the official position of [X]? obviously [Y],0.5,no,P39
56,Did [W] have the official role of [X]? obviously [Y],0.5,no,P39
57,Did [W] have the position of [X]? obviously [Y],0.5,no,P39
58,Did [W] have the public [X] position? obviously [Y],0.5,no,P39
59,Did [W] have the public [X] role? obviously [Y],0.5,no,P39
60,Did [W] have the public position of [X]? obviously [Y],0.4994394618834081,no,P39
61,Did [W] have the public role of [X]? obviously [Y],0.5,no,P39
62,Did [W] have the role of [X]? obviously [Y],0.5,no,P39
63,Did [W] hold the [X] position? obviously [Y],0.5,no,P39
64,Did [W] hold the [X] role? obviously [Y],0.5,no,P39
65,Did [W] hold the official [X] position? obviously [Y],0.5,no,P39
66,Did [W] hold the official [X] role? obviously [Y],0.5,no,P39
67,Did [W] hold the official position of [X]? obviously [Y],0.5,no,P39
68,Did [W] hold the official role of [X]? obviously [Y],0.5,no,P39
69,Did [W] hold the position of [X]? obviously [Y],0.5,no,P39
70,Did [W] hold the public [X] position? obviously [Y],0.5,no,P39
71,Did [W] hold the public [X] role? obviously [Y],0.5,no,P39
72,Did [W] hold the public position of [X]? obviously [Y],0.5,no,P39
73,Did [W] hold the public role of [X]? obviously [Y],0.5,no,P39
74,Did [W] hold the role of [X]? obviously [Y],0.5,no,P39
75,Did [W] officially hold the [X] position? obviously [Y],0.5,no,P39
76,Did [W] officially hold the [X] role? obviously [Y],0.5,no,P39
77,Did [W] officially hold the position of [X]? obviously [Y],0.5,no,P39
78,Did [W] officially hold the public [X] position? obviously [Y],0.5,no,P39
79,Did [W] officially hold the public [X] role? obviously [Y],0.5,no,P39
80,Did [W] officially hold the public position of [X]? obviously [Y],0.5,no,P39
81,Did [W] officially hold the public role of [X]? obviously [Y],0.5,no,P39
82,Did [W] officially hold the role of [X]? obviously [Y],0.5,no,P39
83,Does [W] have the [X] position? obviously [Y],0.5,no,P39
84,Does [W] have the [X] role? obviously [Y],0.5,no,P39
85,Does [W] have the official [X] position? obviously [Y],0.5,no,P39
86,Does [W] have the official [X] role? obviously [Y],0.5,no,P39
87,Does [W] have the official position of [X]? obviously [Y],0.5,no,P39
88,Does [W] have the official role of [X]? obviously [Y],0.5,no,P39
89,Does [W] have the position of [X]? obviously [Y],0.5,no,P39
90,Does [W] have the public [X] position? obviously [Y],0.5,no,P39
91,Does [W] have the public [X] role? obviously [Y],0.5,no,P39
92,Does [W] have the public position of [X]? obviously [Y],0.5,no,P39
93,Does [W] have the public role of [X]? obviously [Y],0.5,no,P39
94,Does [W] have the role of [X]? obviously [Y],0.5,no,P39
95,Does [W] hold the [X] position? obviously [Y],0.5,no,P39
96,Does [W] hold the [X] role? obviously [Y],0.5,no,P39
97,Does [W] hold the official [X] position? obviously [Y],0.5,no,P39
98,Does [W] hold the official [X] role? obviously [Y],0.5,no,P39
99,Does [W] hold the official position of [X]? obviously [Y],0.5,no,P39
