,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure the answer is: [Y],0.09877175025588536,Yes,P103
1,Does [W] speak [X] as a native language? I am pretty sure the answer is: [Y],0.06908904810644831,Yes,P103
2,Is [X] [W]'s mother tongue? I am pretty sure the answer is: [Y],0.34032753326509724,Yes,P103
3,Is [X] [W]'s native language? I am pretty sure the answer is: [Y],0.417093142272262,Yes,P103
4,Does [W] work for [X]? I am pretty sure the answer is: [Y],0.18929503916449086,Yes,P108
5,Is [W] employed by [X]? I am pretty sure the answer is: [Y],0.0026109660574412533,Yes,P108
6,Did [W] originate from [X]? I am pretty sure the answer is: [Y],0.4157838983050847,Yes,P19
7,Does [W] originate from [X]? I am pretty sure the answer is: [Y],0.4348516949152542,Yes,P19
8,Is [W] a [X]-born person? I am pretty sure the answer is: [Y],0.09375,Yes,P19
9,Is [W] an [X]-born person? I am pretty sure the answer is: [Y],0.0916313559322034,Yes,P19
10,Is [W] native to [X]? I am pretty sure the answer is: [Y],0.4539194915254237,Yes,P19
11,Is [W] originally from [X]? I am pretty sure the answer is: [Y],0.4920550847457627,Yes,P19
12,Is [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.4359110169491525,Yes,P19
13,Is [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.288135593220339,Yes,P19
14,Was [W] a [X]-born person? I am pretty sure the answer is: [Y],0.2356991525423729,Yes,P19
15,Was [W] an [X]-born person? I am pretty sure the answer is: [Y],0.2706567796610169,Yes,P19
16,Was [W] born in [X]? I am pretty sure the answer is: [Y],0.3448093220338983,Yes,P19
17,Was [W] native to [X]? I am pretty sure the answer is: [Y],0.4899364406779661,Yes,P19
18,Was [W] originally from [X]? I am pretty sure the answer is: [Y],0.4586864406779661,Yes,P19
19,Was [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.420021186440678,Yes,P19
20,Was [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.3564618644067797,Yes,P19
21,Did [W] die at [X]? I am pretty sure the answer is: [Y],0.04931794333683106,Yes,P20
22,Did [W] die in [X]? I am pretty sure the answer is: [Y],0.06820566631689402,Yes,P20
23,Did [W] expire at [X]? I am pretty sure the answer is: [Y],0.008394543546694649,Yes,P20
24,Did [W] expire in [X]? I am pretty sure the answer is: [Y],0.0236096537250787,Yes,P20
25,Did [W] lose their life at [X]? I am pretty sure the answer is: [Y],0.008394543546694649,Yes,P20
26,Did [W] lose their life in [X]? I am pretty sure the answer is: [Y],0.011542497376705142,Yes,P20
27,Did [W] pass away at [X]? I am pretty sure the answer is: [Y],0.08761804826862539,Yes,P20
28,Did [W] pass away in [X]? I am pretty sure the answer is: [Y],0.10335781741867786,Yes,P20
29,Did [W] succumb at [X]? I am pretty sure the answer is: [Y],0.007869884575026232,Yes,P20
30,Did [W] succumb in [X]? I am pretty sure the answer is: [Y],0.012591815320041973,Yes,P20
31,Did [W]'s life end at [X]? I am pretty sure the answer is: [Y],0.015215110178384051,Yes,P20
32,Did [W]'s life end in [X]? I am pretty sure the answer is: [Y],0.05036726128016789,Yes,P20
33,Is [X] [W]'s death location? I am pretty sure the answer is: [Y],0.31951731374606507,Yes,P20
34,Is [X] [W]'s death place? I am pretty sure the answer is: [Y],0.13273871983210914,Yes,P20
35,Is [X] [W]'s place of death? I am pretty sure the answer is: [Y],0.019412381951731374,Yes,P20
36,Was [X] [W]'s death location? I am pretty sure the answer is: [Y],0.31007345225603355,Yes,P20
37,Was [X] [W]'s death place? I am pretty sure the answer is: [Y],0.17785939139559287,Yes,P20
38,Was [X] [W]'s place of death? I am pretty sure the answer is: [Y],0.03620146904512067,Yes,P20
39,Does [W] belong to continent [X]? I am pretty sure the answer is: [Y],0.0,Yes,P30
40,Does [W] belong to the continent of [X]? I am pretty sure the answer is: [Y],0.0,Yes,P30
41,Is [W] a part of continent [X]? I am pretty sure the answer is: [Y],0.02564102564102564,Yes,P30
42,Is [W] a part of the continent [X]? I am pretty sure the answer is: [Y],0.0056410256410256415,Yes,P30
43,Is [W] a part of the continent of [X]? I am pretty sure the answer is: [Y],0.012307692307692308,Yes,P30
44,Is [W] located in [X]? I am pretty sure the answer is: [Y],0.020512820512820513,Yes,P30
45,Is [W] located in continent [X]? I am pretty sure the answer is: [Y],0.0071794871794871795,Yes,P30
46,Is [W] located in the [X] continent? I am pretty sure the answer is: [Y],0.013846153846153847,Yes,P30
47,Is [W] located in the continent [X]? I am pretty sure the answer is: [Y],0.0041025641025641026,Yes,P30
48,Is [W] part of the [X] continent? I am pretty sure the answer is: [Y],0.10153846153846154,Yes,P30
49,Is [X] [W]'s continent? I am pretty sure the answer is: [Y],0.019487179487179488,Yes,P30
50,Is [X] the continent of [W]? I am pretty sure the answer is: [Y],0.029743589743589743,Yes,P30
51,Did [W] have the [X] position? I am pretty sure the answer is: [Y],0.007847533632286996,Yes,P39
52,Did [W] have the [X] role? I am pretty sure the answer is: [Y],0.013452914798206279,Yes,P39
53,Did [W] have the official [X] position? I am pretty sure the answer is: [Y],0.004484304932735426,Yes,P39
54,Did [W] have the official [X] role? I am pretty sure the answer is: [Y],0.005044843049327354,Yes,P39
55,Did [W] have the official position of [X]? I am pretty sure the answer is: [Y],0.003923766816143498,Yes,P39
56,Did [W] have the official role of [X]? I am pretty sure the answer is: [Y],0.011210762331838564,Yes,P39
57,Did [W] have the position of [X]? I am pretty sure the answer is: [Y],0.014573991031390135,Yes,P39
58,Did [W] have the public [X] position? I am pretty sure the answer is: [Y],0.007847533632286996,Yes,P39
59,Did [W] have the public [X] role? I am pretty sure the answer is: [Y],0.01289237668161435,Yes,P39
60,Did [W] have the public position of [X]? I am pretty sure the answer is: [Y],0.013452914798206279,Yes,P39
61,Did [W] have the public role of [X]? I am pretty sure the answer is: [Y],0.03867713004484305,Yes,P39
62,Did [W] have the role of [X]? I am pretty sure the answer is: [Y],0.0397982062780269,Yes,P39
63,Did [W] hold the [X] position? I am pretty sure the answer is: [Y],0.013452914798206279,Yes,P39
64,Did [W] hold the [X] role? I am pretty sure the answer is: [Y],0.015134529147982063,Yes,P39
65,Did [W] hold the official [X] position? I am pretty sure the answer is: [Y],0.0033632286995515697,Yes,P39
66,Did [W] hold the official [X] role? I am pretty sure the answer is: [Y],0.00616591928251121,Yes,P39
67,Did [W] hold the official position of [X]? I am pretty sure the answer is: [Y],0.0072869955156950675,Yes,P39
68,Did [W] hold the official role of [X]? I am pretty sure the answer is: [Y],0.008968609865470852,Yes,P39
69,Did [W] hold the position of [X]? I am pretty sure the answer is: [Y],0.01961883408071749,Yes,P39
70,Did [W] hold the public [X] position? I am pretty sure the answer is: [Y],0.00616591928251121,Yes,P39
71,Did [W] hold the public [X] role? I am pretty sure the answer is: [Y],0.01233183856502242,Yes,P39
72,Did [W] hold the public position of [X]? I am pretty sure the answer is: [Y],0.008968609865470852,Yes,P39
73,Did [W] hold the public role of [X]? I am pretty sure the answer is: [Y],0.014013452914798207,Yes,P39
74,Did [W] hold the role of [X]? I am pretty sure the answer is: [Y],0.03139013452914798,Yes,P39
75,Did [W] officially hold the [X] position? I am pretty sure the answer is: [Y],0.003923766816143498,Yes,P39
76,Did [W] officially hold the [X] role? I am pretty sure the answer is: [Y],0.003923766816143498,Yes,P39
77,Did [W] officially hold the position of [X]? I am pretty sure the answer is: [Y],0.00616591928251121,Yes,P39
78,Did [W] officially hold the public [X] position? I am pretty sure the answer is: [Y],0.0,Yes,P39
79,Did [W] officially hold the public [X] role? I am pretty sure the answer is: [Y],0.0005605381165919282,Yes,P39
80,Did [W] officially hold the public position of [X]? I am pretty sure the answer is: [Y],0.0033632286995515697,Yes,P39
81,Did [W] officially hold the public role of [X]? I am pretty sure the answer is: [Y],0.003923766816143498,Yes,P39
82,Did [W] officially hold the role of [X]? I am pretty sure the answer is: [Y],0.005044843049327354,Yes,P39
83,Does [W] have the [X] position? I am pretty sure the answer is: [Y],0.0,Yes,P39
84,Does [W] have the [X] role? I am pretty sure the answer is: [Y],0.0005605381165919282,Yes,P39
85,Does [W] have the official [X] position? I am pretty sure the answer is: [Y],0.0,Yes,P39
86,Does [W] have the official [X] role? I am pretty sure the answer is: [Y],0.0,Yes,P39
87,Does [W] have the official position of [X]? I am pretty sure the answer is: [Y],0.0011210762331838565,Yes,P39
