,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? [Y],0.0005117707267144319,Yes,P103
1,Does [W] speak [X] as a native language? [Y],0.0,Yes,P103
2,Is [X] [W]'s mother tongue? [Y],0.0,Yes,P103
3,Is [X] [W]'s native language? [Y],0.0,Yes,P103
4,Does [W] work for [X]? [Y],0.0039164490861618795,Yes,P108
5,Is [W] employed by [X]? [Y],0.0013054830287206266,Yes,P108
6,Did [W] originate from [X]? [Y],0.0,Yes,P19
7,Does [W] originate from [X]? [Y],0.0,Yes,P19
8,Is [W] a [X]-born person? [Y],0.0,Yes,P19
9,Is [W] an [X]-born person? [Y],0.0,Yes,P19
10,Is [W] native to [X]? [Y],0.0005296610169491525,Yes,P19
11,Is [W] originally from [X]? [Y],0.0,Yes,P19
12,Is [X] [W]'s birthplace? [Y],0.0,Yes,P19
13,Is [X] [W]'s place of birth? [Y],0.0,Yes,P19
14,Was [W] a [X]-born person? [Y],0.0026483050847457626,Yes,P19
15,Was [W] an [X]-born person? [Y],0.003707627118644068,Yes,P19
16,Was [W] born in [X]? [Y],0.0005296610169491525,Yes,P19
17,Was [W] native to [X]? [Y],0.0,Yes,P19
18,Was [W] originally from [X]? [Y],0.0,Yes,P19
19,Was [X] [W]'s birthplace? [Y],0.0,Yes,P19
20,Was [X] [W]'s place of birth? [Y],0.0,Yes,P19
21,Did [W] die at [X]? [Y],0.0,Yes,P20
22,Did [W] die in [X]? [Y],0.0,Yes,P20
23,Did [W] expire at [X]? [Y],0.0,Yes,P20
24,Did [W] expire in [X]? [Y],0.0,Yes,P20
25,Did [W] lose their life at [X]? [Y],0.0,Yes,P20
26,Did [W] lose their life in [X]? [Y],0.0,Yes,P20
27,Did [W] pass away at [X]? [Y],0.0,Yes,P20
28,Did [W] pass away in [X]? [Y],0.0,Yes,P20
29,Did [W] succumb at [X]? [Y],0.0,Yes,P20
30,Did [W] succumb in [X]? [Y],0.0,Yes,P20
31,Did [W]'s life end at [X]? [Y],0.0,Yes,P20
32,Did [W]'s life end in [X]? [Y],0.0,Yes,P20
33,Is [X] [W]'s death location? [Y],0.0,Yes,P20
34,Is [X] [W]'s death place? [Y],0.0,Yes,P20
35,Is [X] [W]'s place of death? [Y],0.0,Yes,P20
36,Was [X] [W]'s death location? [Y],0.0,Yes,P20
37,Was [X] [W]'s death place? [Y],0.0,Yes,P20
38,Was [X] [W]'s place of death? [Y],0.0,Yes,P20
39,Does [W] belong to continent [X]? [Y],0.0,Yes,P30
40,Does [W] belong to the continent of [X]? [Y],0.0005128205128205128,Yes,P30
41,Is [W] a part of continent [X]? [Y],0.0,Yes,P30
42,Is [W] a part of the continent [X]? [Y],0.0,Yes,P30
43,Is [W] a part of the continent of [X]? [Y],0.0015384615384615385,Yes,P30
44,Is [W] located in [X]? [Y],0.0041025641025641026,Yes,P30
45,Is [W] located in continent [X]? [Y],0.008205128205128205,Yes,P30
46,Is [W] located in the [X] continent? [Y],0.015384615384615385,Yes,P30
47,Is [W] located in the continent [X]? [Y],0.002564102564102564,Yes,P30
48,Is [W] part of the [X] continent? [Y],0.0,Yes,P30
49,Is [X] [W]'s continent? [Y],0.0,Yes,P30
50,Is [X] the continent of [W]? [Y],0.0020512820512820513,Yes,P30
51,Did [W] have the [X] position? [Y],0.0,Yes,P39
52,Did [W] have the [X] role? [Y],0.0,Yes,P39
53,Did [W] have the official [X] position? [Y],0.0,Yes,P39
54,Did [W] have the official [X] role? [Y],0.0,Yes,P39
55,Did [W] have the official position of [X]? [Y],0.0,Yes,P39
56,Did [W] have the official role of [X]? [Y],0.0,Yes,P39
57,Did [W] have the position of [X]? [Y],0.0,Yes,P39
58,Did [W] have the public [X] position? [Y],0.0,Yes,P39
59,Did [W] have the public [X] role? [Y],0.0,Yes,P39
60,Did [W] have the public position of [X]? [Y],0.0,Yes,P39
61,Did [W] have the public role of [X]? [Y],0.0,Yes,P39
62,Did [W] have the role of [X]? [Y],0.0005605381165919282,Yes,P39
63,Did [W] hold the [X] position? [Y],0.0,Yes,P39
64,Did [W] hold the [X] role? [Y],0.0,Yes,P39
65,Did [W] hold the official [X] position? [Y],0.0,Yes,P39
66,Did [W] hold the official [X] role? [Y],0.0,Yes,P39
67,Did [W] hold the official position of [X]? [Y],0.0,Yes,P39
68,Did [W] hold the official role of [X]? [Y],0.0,Yes,P39
69,Did [W] hold the position of [X]? [Y],0.0,Yes,P39
70,Did [W] hold the public [X] position? [Y],0.0005605381165919282,Yes,P39
71,Did [W] hold the public [X] role? [Y],0.0,Yes,P39
72,Did [W] hold the public position of [X]? [Y],0.0,Yes,P39
73,Did [W] hold the public role of [X]? [Y],0.0,Yes,P39
74,Did [W] hold the role of [X]? [Y],0.0,Yes,P39
75,Did [W] officially hold the [X] position? [Y],0.0,Yes,P39
76,Did [W] officially hold the [X] role? [Y],0.0,Yes,P39
77,Did [W] officially hold the position of [X]? [Y],0.0,Yes,P39
78,Did [W] officially hold the public [X] position? [Y],0.0,Yes,P39
79,Did [W] officially hold the public [X] role? [Y],0.0,Yes,P39
80,Did [W] officially hold the public position of [X]? [Y],0.0,Yes,P39
81,Did [W] officially hold the public role of [X]? [Y],0.0,Yes,P39
82,Did [W] officially hold the role of [X]? [Y],0.0,Yes,P39
83,Does [W] have the [X] position? [Y],0.0,Yes,P39
84,Does [W] have the [X] role? [Y],0.0,Yes,P39
85,Does [W] have the official [X] position? [Y],0.0,Yes,P39
86,Does [W] have the official [X] role? [Y],0.0,Yes,P39
87,Does [W] have the official position of [X]? [Y],0.0,Yes,P39
88,Does [W] have the official role of [X]? [Y],0.0,Yes,P39
89,Does [W] have the position of [X]? [Y],0.0,Yes,P39
90,Does [W] have the public [X] position? [Y],0.0,Yes,P39
91,Does [W] have the public [X] role? [Y],0.0,Yes,P39
92,Does [W] have the public position of [X]? [Y],0.0,Yes,P39
93,Does [W] have the public role of [X]? [Y],0.0,Yes,P39
94,Does [W] have the role of [X]? [Y],0.0,Yes,P39
95,Does [W] hold the [X] position? [Y],0.0,Yes,P39
96,Does [W] hold the [X] role? [Y],0.0,Yes,P39
97,Does [W] hold the official [X] position? [Y],0.0,Yes,P39
98,Does [W] hold the official [X] role? [Y],0.0,Yes,P39
99,Does [W] hold the official position of [X]? [Y],0.0,Yes,P39
100,Does [W] hold the official role of [X]? [Y],0.0,Yes,P39
101,Does [W] hold the position of [X]? [Y],0.0,Yes,P39
102,Does [W] hold the public [X] position? [Y],0.0,Yes,P39
103,Does [W] hold the public [X] role? [Y],0.0,Yes,P39
104,Does [W] hold the public position of [X]? [Y],0.0,Yes,P39
105,Does [W] hold the public role of [X]? [Y],0.0,Yes,P39
106,Does [W] hold the role of [X]? [Y],0.0,Yes,P39
107,Does [W] officially hold the [X] position? [Y],0.0,Yes,P39
108,Does [W] officially hold the [X] role? [Y],0.0,Yes,P39
109,Does [W] officially hold the position of [X]? [Y],0.0,Yes,P39
110,Does [W] officially hold the public [X] position? [Y],0.0,Yes,P39
111,Does [W] officially hold the public [X] role? [Y],0.0,Yes,P39
112,Does [W] officially hold the public position of [X]? [Y],0.0,Yes,P39
113,Does [W] officially hold the public role of [X]? [Y],0.0,Yes,P39
114,Does [W] officially hold the role of [X]? [Y],0.0,Yes,P39
115,Is [W]'s official position [X]? [Y],0.0,Yes,P39
116,Is [W]'s official position that of [X]? [Y],0.0,Yes,P39
117,Is [W]'s official role [X]? [Y],0.0,Yes,P39
118,Is [W]'s official role that of [X]? [Y],0.0,Yes,P39
119,Is [W]'s position [X]? [Y],0.0,Yes,P39
120,Is [W]'s position that of [X]? [Y],0.0,Yes,P39
121,Is [W]'s public position [X]? [Y],0.0,Yes,P39
122,Is [W]'s public position that of [X]? [Y],0.0,Yes,P39
123,Is [W]'s public role [X]? [Y],0.0,Yes,P39
124,Is [W]'s public role that of [X]? [Y],0.0,Yes,P39
