,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure my answer is: [Y],0.06806550665301944,yes,P103
1,Does [W] speak [X] as a native language? I am pretty sure my answer is: [Y],0.24667349027635618,yes,P103
2,Is [X] [W]'s mother tongue? I am pretty sure my answer is: [Y],0.49948822927328557,yes,P103
3,Is [X] [W]'s native language? I am pretty sure my answer is: [Y],0.49129989764585463,yes,P103
4,Does [W] work for [X]? I am pretty sure my answer is: [Y],0.4451697127937337,yes,P108
5,Is [W] employed by [X]? I am pretty sure my answer is: [Y],0.3877284595300261,yes,P108
6,Did [W] originate from [X]? I am pretty sure my answer is: [Y],0.5,yes,P19
7,Does [W] originate from [X]? I am pretty sure my answer is: [Y],0.5,yes,P19
8,Is [W] a [X]-born person? I am pretty sure my answer is: [Y],0.4629237288135593,yes,P19
9,Is [W] an [X]-born person? I am pretty sure my answer is: [Y],0.4761652542372881,yes,P19
10,Is [W] native to [X]? I am pretty sure my answer is: [Y],0.4989406779661017,yes,P19
11,Is [W] originally from [X]? I am pretty sure my answer is: [Y],0.5,yes,P19
12,Is [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.5,yes,P19
13,Is [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.4994703389830508,yes,P19
14,Was [W] a [X]-born person? I am pretty sure my answer is: [Y],0.4952330508474576,yes,P19
15,Was [W] an [X]-born person? I am pretty sure my answer is: [Y],0.4962923728813559,yes,P19
16,Was [W] born in [X]? I am pretty sure my answer is: [Y],0.4968220338983051,yes,P19
17,Was [W] native to [X]? I am pretty sure my answer is: [Y],0.4994703389830508,yes,P19
18,Was [W] originally from [X]? I am pretty sure my answer is: [Y],0.5,yes,P19
19,Was [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.5,yes,P19
20,Was [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.4994703389830508,yes,P19
21,Did [W] die at [X]? I am pretty sure my answer is: [Y],0.3441762854144806,yes,P20
22,Did [W] die in [X]? I am pretty sure my answer is: [Y],0.38667366211962223,yes,P20
23,Did [W] expire at [X]? I am pretty sure my answer is: [Y],0.25445960125918154,yes,P20
24,Did [W] expire in [X]? I am pretty sure my answer is: [Y],0.2644281217208814,yes,P20
25,Did [W] lose their life at [X]? I am pretty sure my answer is: [Y],0.2565582371458552,yes,P20
26,Did [W] lose their life in [X]? I am pretty sure my answer is: [Y],0.3058761804826863,yes,P20
27,Did [W] pass away at [X]? I am pretty sure my answer is: [Y],0.4060860440713536,yes,P20
28,Did [W] pass away in [X]? I am pretty sure my answer is: [Y],0.43074501573976914,yes,P20
29,Did [W] succumb at [X]? I am pretty sure my answer is: [Y],0.21878279118572927,yes,P20
30,Did [W] succumb in [X]? I am pretty sure my answer is: [Y],0.2733473242392445,yes,P20
31,Did [W]'s life end at [X]? I am pretty sure my answer is: [Y],0.22927597061909757,yes,P20
32,Did [W]'s life end in [X]? I am pretty sure my answer is: [Y],0.3058761804826863,yes,P20
