,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure the answer is: [Y],0.0035823950870010235,yes,P103
1,Does [W] speak [X] as a native language? I am pretty sure the answer is: [Y],0.0040941658137154556,yes,P103
2,Is [X] [W]'s mother tongue? I am pretty sure the answer is: [Y],0.42221084953940635,yes,P103
3,Is [X] [W]'s native language? I am pretty sure the answer is: [Y],0.14124872057318322,yes,P103
4,Does [W] work for [X]? I am pretty sure the answer is: [Y],0.26109660574412535,yes,P108
5,Is [W] employed by [X]? I am pretty sure the answer is: [Y],0.005221932114882507,yes,P108
6,Did [W] originate from [X]? I am pretty sure the answer is: [Y],0.4957627118644068,yes,P19
7,Does [W] originate from [X]? I am pretty sure the answer is: [Y],0.4925847457627119,yes,P19
8,Is [W] a [X]-born person? I am pretty sure the answer is: [Y],0.08739406779661017,yes,P19
9,Is [W] an [X]-born person? I am pretty sure the answer is: [Y],0.09798728813559322,yes,P19
10,Is [W] native to [X]? I am pretty sure the answer is: [Y],0.475635593220339,yes,P19
11,Is [W] originally from [X]? I am pretty sure the answer is: [Y],0.5,yes,P19
12,Is [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.4989406779661017,yes,P19
13,Is [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.4973516949152542,yes,P19
14,Was [W] a [X]-born person? I am pretty sure the answer is: [Y],0.2955508474576271,yes,P19
15,Was [W] an [X]-born person? I am pretty sure the answer is: [Y],0.3384533898305085,yes,P19
16,Was [W] born in [X]? I am pretty sure the answer is: [Y],0.4745762711864407,yes,P19
17,Was [W] native to [X]? I am pretty sure the answer is: [Y],0.4978813559322034,yes,P19
18,Was [W] originally from [X]? I am pretty sure the answer is: [Y],0.4994703389830508,yes,P19
19,Was [X] [W]'s birthplace? I am pretty sure the answer is: [Y],0.4994703389830508,yes,P19
20,Was [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.4989406779661017,yes,P19
21,Did [W] die at [X]? I am pretty sure the answer is: [Y],0.16421825813221405,yes,P20
22,Did [W] die in [X]? I am pretty sure the answer is: [Y],0.23924449108079748,yes,P20
23,Did [W] expire at [X]? I am pretty sure the answer is: [Y],0.12172088142707241,yes,P20
