,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am sure my answer is: [Y],0.10030706243602866,yes,P103
1,Does [W] speak [X] as a native language? I am sure my answer is: [Y],0.25588536335721596,yes,P103
2,Is [X] [W]'s mother tongue? I am sure my answer is: [Y],0.5,yes,P103
3,Is [X] [W]'s native language? I am sure my answer is: [Y],0.5,yes,P103
4,Does [W] work for [X]? I am sure my answer is: [Y],0.42428198433420367,yes,P108
5,Is [W] employed by [X]? I am sure my answer is: [Y],0.39425587467362927,yes,P108
6,Did [W] originate from [X]? I am sure my answer is: [Y],0.5,yes,P19
7,Does [W] originate from [X]? I am sure my answer is: [Y],0.4994703389830508,yes,P19
8,Is [W] a [X]-born person? I am sure my answer is: [Y],0.482521186440678,yes,P19
9,Is [W] an [X]-born person? I am sure my answer is: [Y],0.486228813559322,yes,P19
10,Is [W] native to [X]? I am sure my answer is: [Y],0.4994703389830508,yes,P19
11,Is [W] originally from [X]? I am sure my answer is: [Y],0.5,yes,P19
12,Is [X] [W]'s birthplace? I am sure my answer is: [Y],0.5,yes,P19
13,Is [X] [W]'s place of birth? I am sure my answer is: [Y],0.5,yes,P19
14,Was [W] a [X]-born person? I am sure my answer is: [Y],0.4957627118644068,yes,P19
15,Was [W] an [X]-born person? I am sure my answer is: [Y],0.4962923728813559,yes,P19
16,Was [W] born in [X]? I am sure my answer is: [Y],0.4947033898305085,yes,P19
17,Was [W] native to [X]? I am sure my answer is: [Y],0.4994703389830508,yes,P19
18,Was [W] originally from [X]? I am sure my answer is: [Y],0.5,yes,P19
19,Was [X] [W]'s birthplace? I am sure my answer is: [Y],0.5,yes,P19
20,Was [X] [W]'s place of birth? I am sure my answer is: [Y],0.4994703389830508,yes,P19
21,Did [W] die at [X]? I am sure my answer is: [Y],0.19464847848898217,yes,P20
22,Did [W] die in [X]? I am sure my answer is: [Y],0.26652675760755506,yes,P20
23,Did [W] expire at [X]? I am sure my answer is: [Y],0.06977964323189927,yes,P20
24,Did [W] expire in [X]? I am sure my answer is: [Y],0.11909758656873033,yes,P20
25,Did [W] lose their life at [X]? I am sure my answer is: [Y],0.10283315844700944,yes,P20
26,Did [W] lose their life in [X]? I am sure my answer is: [Y],0.16002098635886675,yes,P20
27,Did [W] pass away at [X]? I am sure my answer is: [Y],0.2402938090241343,yes,P20
28,Did [W] pass away in [X]? I am sure my answer is: [Y],0.2644281217208814,yes,P20
29,Did [W] succumb at [X]? I am sure my answer is: [Y],0.025183630640083946,yes,P20
30,Did [W] succumb in [X]? I am sure my answer is: [Y],0.05771248688352571,yes,P20
31,Did [W]'s life end at [X]? I am sure my answer is: [Y],0.07607555089192025,yes,P20
32,Did [W]'s life end in [X]? I am sure my answer is: [Y],0.1584470094438615,yes,P20
33,Is [X] [W]'s death location? I am sure my answer is: [Y],0.5,yes,P20
34,Is [X] [W]'s death place? I am sure my answer is: [Y],0.5,yes,P20
35,Is [X] [W]'s place of death? I am sure my answer is: [Y],0.4428121720881427,yes,P20
36,Was [X] [W]'s death location? I am sure my answer is: [Y],0.5,yes,P20
37,Was [X] [W]'s death place? I am sure my answer is: [Y],0.5,yes,P20
38,Was [X] [W]'s place of death? I am sure my answer is: [Y],0.4910807974816369,yes,P20
39,Does [W] belong to continent [X]? I am sure my answer is: [Y],0.41743589743589743,yes,P30
40,Does [W] belong to the continent of [X]? I am sure my answer is: [Y],0.44564102564102565,yes,P30
41,Is [W] a part of continent [X]? I am sure my answer is: [Y],0.49128205128205127,yes,P30
42,Is [W] a part of the continent [X]? I am sure my answer is: [Y],0.47794871794871796,yes,P30
43,Is [W] a part of the continent of [X]? I am sure my answer is: [Y],0.49435897435897436,yes,P30
44,Is [W] located in [X]? I am sure my answer is: [Y],0.49948717948717947,yes,P30
45,Is [W] located in continent [X]? I am sure my answer is: [Y],0.5,yes,P30
46,Is [W] located in the [X] continent? I am sure my answer is: [Y],0.5,yes,P30
47,Is [W] located in the continent [X]? I am sure my answer is: [Y],0.5,yes,P30
48,Is [W] part of the [X] continent? I am sure my answer is: [Y],0.4835897435897436,yes,P30
49,Is [X] [W]'s continent? I am sure my answer is: [Y],0.4979487179487179,yes,P30
50,Is [X] the continent of [W]? I am sure my answer is: [Y],0.49948717948717947,yes,P30
51,Did [W] have the [X] position? I am sure my answer is: [Y],0.2914798206278027,yes,P39
52,Did [W] have the [X] role? I am sure my answer is: [Y],0.37948430493273544,yes,P39
53,Did [W] have the official [X] position? I am sure my answer is: [Y],0.20123318385650224,yes,P39
54,Did [W] have the official [X] role? I am sure my answer is: [Y],0.2163677130044843,yes,P39
55,Did [W] have the official position of [X]? I am sure my answer is: [Y],0.21076233183856502,yes,P39
56,Did [W] have the official role of [X]? I am sure my answer is: [Y],0.40302690582959644,yes,P39
57,Did [W] have the position of [X]? I am sure my answer is: [Y],0.4288116591928251,yes,P39
58,Did [W] have the public [X] position? I am sure my answer is: [Y],0.2382286995515695,yes,P39
59,Did [W] have the public [X] role? I am sure my answer is: [Y],0.2998878923766816,yes,P39
60,Did [W] have the public position of [X]? I am sure my answer is: [Y],0.3133408071748879,yes,P39
61,Did [W] have the public role of [X]? I am sure my answer is: [Y],0.40975336322869954,yes,P39
62,Did [W] have the role of [X]? I am sure my answer is: [Y],0.4495515695067265,yes,P39
63,Did [W] hold the [X] position? I am sure my answer is: [Y],0.3116591928251121,yes,P39
64,Did [W] hold the [X] role? I am sure my answer is: [Y],0.23150224215246637,yes,P39
65,Did [W] hold the official [X] position? I am sure my answer is: [Y],0.22926008968609865,yes,P39
66,Did [W] hold the official [X] role? I am sure my answer is: [Y],0.1412556053811659,yes,P39
67,Did [W] hold the official position of [X]? I am sure my answer is: [Y],0.30437219730941706,yes,P39
68,Did [W] hold the official role of [X]? I am sure my answer is: [Y],0.24663677130044842,yes,P39
69,Did [W] hold the position of [X]? I am sure my answer is: [Y],0.35257847533632286,yes,P39
70,Did [W] hold the public [X] position? I am sure my answer is: [Y],0.26289237668161436,yes,P39
71,Did [W] hold the public [X] role? I am sure my answer is: [Y],0.1844170403587444,yes,P39
72,Did [W] hold the public position of [X]? I am sure my answer is: [Y],0.23934977578475336,yes,P39
73,Did [W] hold the public role of [X]? I am sure my answer is: [Y],0.24271300448430494,yes,P39
74,Did [W] hold the role of [X]? I am sure my answer is: [Y],0.31053811659192826,yes,P39
