,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 99% sure the answer is: [Y],0.47697031729785055,no,P103
1,Does [W] speak [X] as a native language? I am 99% sure the answer is: [Y],0.4953940634595701,no,P103
2,Is [X] [W]'s mother tongue? I am 99% sure the answer is: [Y],0.042988741044012284,no,P103
3,Is [X] [W]'s native language? I am 99% sure the answer is: [Y],0.24002047082906858,no,P103
4,Does [W] work for [X]? I am 99% sure the answer is: [Y],0.360313315926893,no,P108
5,Is [W] employed by [X]? I am 99% sure the answer is: [Y],0.48433420365535246,no,P108
6,Did [W] originate from [X]? I am 99% sure the answer is: [Y],0.036016949152542374,no,P19
7,Does [W] originate from [X]? I am 99% sure the answer is: [Y],0.019067796610169493,no,P19
8,Is [W] a [X]-born person? I am 99% sure the answer is: [Y],0.3739406779661017,no,P19
9,Is [W] an [X]-born person? I am 99% sure the answer is: [Y],0.3712923728813559,no,P19
10,Is [W] native to [X]? I am 99% sure the answer is: [Y],0.05031779661016949,no,P19
11,Is [W] originally from [X]? I am 99% sure the answer is: [Y],0.00211864406779661,no,P19
12,Is [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.0015889830508474577,no,P19
13,Is [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.0015889830508474577,no,P19
14,Was [W] a [X]-born person? I am 99% sure the answer is: [Y],0.21610169491525424,no,P19
15,Was [W] an [X]-born person? I am 99% sure the answer is: [Y],0.211864406779661,no,P19
16,Was [W] born in [X]? I am 99% sure the answer is: [Y],0.05985169491525424,no,P19
17,Was [W] native to [X]? I am 99% sure the answer is: [Y],0.013241525423728813,no,P19
18,Was [W] originally from [X]? I am 99% sure the answer is: [Y],0.007944915254237288,no,P19
19,Was [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.0015889830508474577,no,P19
20,Was [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.001059322033898305,no,P19
21,Did [W] die at [X]? I am 99% sure the answer is: [Y],0.3672612801678909,no,P20
22,Did [W] die in [X]? I am 99% sure the answer is: [Y],0.27911857292759706,no,P20
23,Did [W] expire at [X]? I am 99% sure the answer is: [Y],0.3882476390346275,no,P20
24,Did [W] expire in [X]? I am 99% sure the answer is: [Y],0.35047219307450156,no,P20
25,Did [W] lose their life at [X]? I am 99% sure the answer is: [Y],0.47796432318992654,no,P20
26,Did [W] lose their life in [X]? I am 99% sure the answer is: [Y],0.4669464847848898,no,P20
27,Did [W] pass away at [X]? I am 99% sure the answer is: [Y],0.3955928646379853,no,P20
28,Did [W] pass away in [X]? I am 99% sure the answer is: [Y],0.33315844700944386,no,P20
29,Did [W] succumb at [X]? I am 99% sure the answer is: [Y],0.4805876180482686,no,P20
30,Did [W] succumb in [X]? I am 99% sure the answer is: [Y],0.45697796432318993,no,P20
31,Did [W]'s life end at [X]? I am 99% sure the answer is: [Y],0.49160545645330533,no,P20
32,Did [W]'s life end in [X]? I am 99% sure the answer is: [Y],0.45435466946484787,no,P20
33,Is [X] [W]'s death location? I am 99% sure the answer is: [Y],0.0,no,P20
34,Is [X] [W]'s death place? I am 99% sure the answer is: [Y],0.002098635886673662,no,P20
35,Is [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.1049317943336831,no,P20
36,Was [X] [W]'s death location? I am 99% sure the answer is: [Y],0.0031479538300104933,no,P20
37,Was [X] [W]'s death place? I am 99% sure the answer is: [Y],0.0015739769150052466,no,P20
38,Was [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.08551941238195174,no,P20
39,Does [W] belong to continent [X]? I am 99% sure the answer is: [Y],0.31846153846153846,no,P30
40,Does [W] belong to the continent of [X]? I am 99% sure the answer is: [Y],0.43641025641025644,no,P30
41,Is [W] a part of continent [X]? I am 99% sure the answer is: [Y],0.35384615384615387,no,P30
42,Is [W] a part of the continent [X]? I am 99% sure the answer is: [Y],0.46307692307692305,no,P30
43,Is [W] a part of the continent of [X]? I am 99% sure the answer is: [Y],0.4282051282051282,no,P30
44,Is [W] located in [X]? I am 99% sure the answer is: [Y],0.16974358974358975,no,P30
45,Is [W] located in continent [X]? I am 99% sure the answer is: [Y],0.20102564102564102,no,P30
46,Is [W] located in the [X] continent? I am 99% sure the answer is: [Y],0.14358974358974358,no,P30
47,Is [W] located in the continent [X]? I am 99% sure the answer is: [Y],0.18769230769230769,no,P30
48,Is [W] part of the [X] continent? I am 99% sure the answer is: [Y],0.22564102564102564,no,P30
49,Is [X] [W]'s continent? I am 99% sure the answer is: [Y],0.011282051282051283,no,P30
50,Is [X] the continent of [W]? I am 99% sure the answer is: [Y],0.07179487179487179,no,P30
51,Did [W] have the [X] position? I am 99% sure the answer is: [Y],0.38565022421524664,no,P39
52,Did [W] have the [X] role? I am 99% sure the answer is: [Y],0.34641255605381166,no,P39
53,Did [W] have the official [X] position? I am 99% sure the answer is: [Y],0.44506726457399104,no,P39
54,Did [W] have the official [X] role? I am 99% sure the answer is: [Y],0.3929372197309417,no,P39
55,Did [W] have the official position of [X]? I am 99% sure the answer is: [Y],0.4316143497757848,no,P39
