,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure my answer is: [Y],0.17604912998976457,No,P103
1,Does [W] speak [X] as a native language? I am pretty sure my answer is: [Y],0.195496417604913,No,P103
2,Is [X] [W]'s mother tongue? I am pretty sure my answer is: [Y],0.012282497441146366,No,P103
3,Is [X] [W]'s native language? I am pretty sure my answer is: [Y],0.0040941658137154556,No,P103
4,Does [W] work for [X]? I am pretty sure my answer is: [Y],0.35509138381201044,No,P108
5,Is [W] employed by [X]? I am pretty sure my answer is: [Y],0.44386422976501305,No,P108
6,Did [W] originate from [X]? I am pretty sure my answer is: [Y],0.0858050847457627,No,P19
7,Does [W] originate from [X]? I am pretty sure my answer is: [Y],0.048728813559322036,No,P19
8,Is [W] a [X]-born person? I am pretty sure my answer is: [Y],0.1419491525423729,No,P19
9,Is [W] an [X]-born person? I am pretty sure my answer is: [Y],0.13665254237288135,No,P19
10,Is [W] native to [X]? I am pretty sure my answer is: [Y],0.006885593220338983,No,P19
11,Is [W] originally from [X]? I am pretty sure my answer is: [Y],0.0015889830508474577,No,P19
12,Is [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.036016949152542374,No,P19
13,Is [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.1917372881355932,No,P19
14,Was [W] a [X]-born person? I am pretty sure my answer is: [Y],0.06197033898305085,No,P19
15,Was [W] an [X]-born person? I am pretty sure my answer is: [Y],0.06038135593220339,No,P19
16,Was [W] born in [X]? I am pretty sure my answer is: [Y],0.05985169491525424,No,P19
17,Was [W] native to [X]? I am pretty sure my answer is: [Y],0.00211864406779661,No,P19
18,Was [W] originally from [X]? I am pretty sure my answer is: [Y],0.005296610169491525,No,P19
19,Was [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.06408898305084745,No,P19
20,Was [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.10434322033898305,No,P19
21,Did [W] die at [X]? I am pretty sure my answer is: [Y],0.43809024134312696,No,P20
22,Did [W] die in [X]? I am pretty sure my answer is: [Y],0.44438614900314793,No,P20
23,Did [W] expire at [X]? I am pretty sure my answer is: [Y],0.4910807974816369,No,P20
24,Did [W] expire in [X]? I am pretty sure my answer is: [Y],0.4895068205666317,No,P20
25,Did [W] lose their life at [X]? I am pretty sure my answer is: [Y],0.49213011542497376,No,P20
26,Did [W] lose their life in [X]? I am pretty sure my answer is: [Y],0.4910807974816369,No,P20
27,Did [W] pass away at [X]? I am pretty sure my answer is: [Y],0.39034627492130114,No,P20
28,Did [W] pass away in [X]? I am pretty sure my answer is: [Y],0.37303252885624344,No,P20
29,Did [W] succumb at [X]? I am pretty sure my answer is: [Y],0.48478488982161594,No,P20
30,Did [W] succumb in [X]? I am pretty sure my answer is: [Y],0.4821615949632739,No,P20
31,Did [W]'s life end at [X]? I am pretty sure my answer is: [Y],0.48111227701993703,No,P20
32,Did [W]'s life end in [X]? I am pretty sure my answer is: [Y],0.47796432318992654,No,P20
33,Is [X] [W]'s death location? I am pretty sure my answer is: [Y],0.24554039874081846,No,P20
34,Is [X] [W]'s death place? I am pretty sure my answer is: [Y],0.3530954879328437,No,P20
35,Is [X] [W]'s place of death? I am pretty sure my answer is: [Y],0.4842602308499475,No,P20
36,Was [X] [W]'s death location? I am pretty sure my answer is: [Y],0.2838405036726128,No,P20
37,Was [X] [W]'s death place? I am pretty sure my answer is: [Y],0.3111227701993704,No,P20
38,Was [X] [W]'s place of death? I am pretty sure my answer is: [Y],0.4527806925498426,No,P20
39,Does [W] belong to continent [X]? I am pretty sure my answer is: [Y],0.47025641025641024,No,P30
40,Does [W] belong to the continent of [X]? I am pretty sure my answer is: [Y],0.4835897435897436,No,P30
41,Is [W] a part of continent [X]? I am pretty sure my answer is: [Y],0.3394871794871795,No,P30
42,Is [W] a part of the continent [X]? I am pretty sure my answer is: [Y],0.4087179487179487,No,P30
43,Is [W] a part of the continent of [X]? I am pretty sure my answer is: [Y],0.3723076923076923,No,P30
44,Is [W] located in [X]? I am pretty sure my answer is: [Y],0.3779487179487179,No,P30
45,Is [W] located in continent [X]? I am pretty sure my answer is: [Y],0.4169230769230769,No,P30
46,Is [W] located in the [X] continent? I am pretty sure my answer is: [Y],0.3687179487179487,No,P30
47,Is [W] located in the continent [X]? I am pretty sure my answer is: [Y],0.3958974358974359,No,P30
48,Is [W] part of the [X] continent? I am pretty sure my answer is: [Y],0.17897435897435898,No,P30
49,Is [X] [W]'s continent? I am pretty sure my answer is: [Y],0.40717948717948715,No,P30
50,Is [X] the continent of [W]? I am pretty sure my answer is: [Y],0.378974358974359,No,P30
51,Did [W] have the [X] position? I am pretty sure my answer is: [Y],0.4786995515695067,No,P39
52,Did [W] have the [X] role? I am pretty sure my answer is: [Y],0.46860986547085204,No,P39
53,Did [W] have the official [X] position? I am pretty sure my answer is: [Y],0.49495515695067266,No,P39
54,Did [W] have the official [X] role? I am pretty sure my answer is: [Y],0.4848654708520179,No,P39
55,Did [W] have the official position of [X]? I am pretty sure my answer is: [Y],0.45964125560538116,No,P39
56,Did [W] have the official role of [X]? I am pretty sure my answer is: [Y],0.4433856502242152,No,P39
57,Did [W] have the position of [X]? I am pretty sure my answer is: [Y],0.4433856502242152,No,P39
