,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am pretty sure my answer is: [Y],0.11617195496417605,Yes,P103
1,Does [W] speak [X] as a native language? I am pretty sure my answer is: [Y],0.11566018423746162,Yes,P103
2,Is [X] [W]'s mother tongue? I am pretty sure my answer is: [Y],0.44575230296827023,Yes,P103
3,Is [X] [W]'s native language? I am pretty sure my answer is: [Y],0.49334698055271237,Yes,P103
4,Does [W] work for [X]? I am pretty sure my answer is: [Y],0.2924281984334204,Yes,P108
5,Is [W] employed by [X]? I am pretty sure my answer is: [Y],0.048302872062663184,Yes,P108
6,Did [W] originate from [X]? I am pretty sure my answer is: [Y],0.4009533898305085,Yes,P19
7,Does [W] originate from [X]? I am pretty sure my answer is: [Y],0.4337923728813559,Yes,P19
8,Is [W] a [X]-born person? I am pretty sure my answer is: [Y],0.336864406779661,Yes,P19
9,Is [W] an [X]-born person? I am pretty sure my answer is: [Y],0.3453389830508475,Yes,P19
10,Is [W] native to [X]? I am pretty sure my answer is: [Y],0.4920550847457627,Yes,P19
11,Is [W] originally from [X]? I am pretty sure my answer is: [Y],0.4994703389830508,Yes,P19
12,Is [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.4422669491525424,Yes,P19
13,Is [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.2632415254237288,Yes,P19
14,Was [W] a [X]-born person? I am pretty sure my answer is: [Y],0.4353813559322034,Yes,P19
15,Was [W] an [X]-born person? I am pretty sure my answer is: [Y],0.4396186440677966,Yes,P19
16,Was [W] born in [X]? I am pretty sure my answer is: [Y],0.4258474576271186,Yes,P19
17,Was [W] native to [X]? I am pretty sure my answer is: [Y],0.4978813559322034,Yes,P19
18,Was [W] originally from [X]? I am pretty sure my answer is: [Y],0.4894067796610169,Yes,P19
19,Was [X] [W]'s birthplace? I am pretty sure my answer is: [Y],0.4210805084745763,Yes,P19
20,Was [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.3675847457627119,Yes,P19
21,Did [W] die at [X]? I am pretty sure my answer is: [Y],0.047743966421825816,Yes,P20
22,Did [W] die in [X]? I am pretty sure my answer is: [Y],0.04564533053515215,Yes,P20
23,Did [W] expire at [X]? I am pretty sure my answer is: [Y],0.007869884575026232,Yes,P20
24,Did [W] expire in [X]? I am pretty sure my answer is: [Y],0.011017838405036727,Yes,P20
25,Did [W] lose their life at [X]? I am pretty sure my answer is: [Y],0.006820566631689402,Yes,P20
26,Did [W] lose their life in [X]? I am pretty sure my answer is: [Y],0.008394543546694649,Yes,P20
27,Did [W] pass away at [X]? I am pretty sure my answer is: [Y],0.09968520461699895,Yes,P20
28,Did [W] pass away in [X]? I am pretty sure my answer is: [Y],0.11332633788037776,Yes,P20
29,Did [W] succumb at [X]? I am pretty sure my answer is: [Y],0.012067156348373556,Yes,P20
30,Did [W] succumb in [X]? I am pretty sure my answer is: [Y],0.016789087093389297,Yes,P20
31,Did [W]'s life end at [X]? I am pretty sure my answer is: [Y],0.012591815320041973,Yes,P20
32,Did [W]'s life end in [X]? I am pretty sure my answer is: [Y],0.01888772298006296,Yes,P20
33,Is [X] [W]'s death location? I am pretty sure my answer is: [Y],0.18153200419727178,Yes,P20
34,Is [X] [W]'s death place? I am pretty sure my answer is: [Y],0.1012591815320042,Yes,P20
35,Is [X] [W]'s place of death? I am pretty sure my answer is: [Y],0.009968520461699895,Yes,P20
36,Was [X] [W]'s death location? I am pretty sure my answer is: [Y],0.1967471143756558,Yes,P20
37,Was [X] [W]'s death place? I am pretty sure my answer is: [Y],0.14480587618048268,Yes,P20
38,Was [X] [W]'s place of death? I am pretty sure my answer is: [Y],0.03987408184679958,Yes,P20
39,Does [W] belong to continent [X]? I am pretty sure my answer is: [Y],0.01282051282051282,Yes,P30
40,Does [W] belong to the continent of [X]? I am pretty sure my answer is: [Y],0.006666666666666667,Yes,P30
41,Is [W] a part of continent [X]? I am pretty sure my answer is: [Y],0.09333333333333334,Yes,P30
42,Is [W] a part of the continent [X]? I am pretty sure my answer is: [Y],0.04358974358974359,Yes,P30
43,Is [W] a part of the continent of [X]? I am pretty sure my answer is: [Y],0.06051282051282051,Yes,P30
44,Is [W] located in [X]? I am pretty sure my answer is: [Y],0.10666666666666667,Yes,P30
45,Is [W] located in continent [X]? I am pretty sure my answer is: [Y],0.05128205128205128,Yes,P30
46,Is [W] located in the [X] continent? I am pretty sure my answer is: [Y],0.12051282051282051,Yes,P30
47,Is [W] located in the continent [X]? I am pretty sure my answer is: [Y],0.057435897435897436,Yes,P30
48,Is [W] part of the [X] continent? I am pretty sure my answer is: [Y],0.31435897435897436,Yes,P30
49,Is [X] [W]'s continent? I am pretty sure my answer is: [Y],0.04666666666666667,Yes,P30
50,Is [X] the continent of [W]? I am pretty sure my answer is: [Y],0.11641025641025642,Yes,P30
51,Did [W] have the [X] position? I am pretty sure my answer is: [Y],0.014013452914798207,Yes,P39
52,Did [W] have the [X] role? I am pretty sure my answer is: [Y],0.021300448430493273,Yes,P39
53,Did [W] have the official [X] position? I am pretty sure my answer is: [Y],0.00616591928251121,Yes,P39
54,Did [W] have the official [X] role? I am pretty sure my answer is: [Y],0.008408071748878924,Yes,P39
55,Did [W] have the official position of [X]? I am pretty sure my answer is: [Y],0.006726457399103139,Yes,P39
56,Did [W] have the official role of [X]? I am pretty sure my answer is: [Y],0.013452914798206279,Yes,P39
57,Did [W] have the position of [X]? I am pretty sure my answer is: [Y],0.01569506726457399,Yes,P39
58,Did [W] have the public [X] position? I am pretty sure my answer is: [Y],0.013452914798206279,Yes,P39
