,question,acc,target,fact
0,Does [P103_FA] speak [P103_FB] as a mother tongue? No. Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [W] speak [X] as a mother tongue? I am sure my answer is [Y],0.5,No,P103
1,Does [P103_FA] speak [P103_FB] as a native language? No. Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [W] speak [X] as a native language? I am sure my answer is [Y],0.5,No,P103
2,Is [P103_FB] [P103_FA]'s mother tongue? No. Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [X] [W]'s mother tongue? I am sure my answer is [Y],0.5,No,P103
3,Is [P103_FB] [P103_FA]'s native language? No. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? I am sure my answer is [Y],0.5,No,P103
4,Does [P108_FA] work for [P108_FB]? No. Does [P108_TA] work for [P108_TB]? Yes. Does [W] work for [X]? I am sure my answer is [Y],0.5,No,P108
5,Is [P108_FA] employed by [P108_FB]? No. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? I am sure my answer is [Y],0.5,No,P108
6,Did [P19_FA] originate from [P19_FB]? No. Did [P19_TA] originate from [P19_TB]? Yes. Did [W] originate from [X]? I am sure my answer is [Y],0.5,No,P19
7,Does [P19_FA] originate from [P19_FB]? No. Does [P19_TA] originate from [P19_TB]? Yes. Does [W] originate from [X]? I am sure my answer is [Y],0.5,No,P19
8,Is [P19_FA] a [P19_FB]-born person? No. Is [P19_TA] a [P19_TB]-born person? Yes. Is [W] a [X]-born person? I am sure my answer is [Y],0.5,No,P19
9,Is [P19_FA] an [P19_FB]-born person? No. Is [P19_TA] an [P19_TB]-born person? Yes. Is [W] an [X]-born person? I am sure my answer is [Y],0.5,No,P19
10,Is [P19_FA] native to [P19_FB]? No. Is [P19_TA] native to [P19_TB]? Yes. Is [W] native to [X]? I am sure my answer is [Y],0.5,No,P19
11,Is [P19_FA] originally from [P19_FB]? No. Is [P19_TA] originally from [P19_TB]? Yes. Is [W] originally from [X]? I am sure my answer is [Y],0.5,No,P19
12,Is [P19_FB] [P19_FA]'s birthplace? No. Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [X] [W]'s birthplace? I am sure my answer is [Y],0.5,No,P19
13,Is [P19_FB] [P19_FA]'s place of birth? No. Is [P19_TB] [P19_TA]'s place of birth? Yes. Is [X] [W]'s place of birth? I am sure my answer is [Y],0.5,No,P19
14,Was [P19_FA] a [P19_FB]-born person? No. Was [P19_TA] a [P19_TB]-born person? Yes. Was [W] a [X]-born person? I am sure my answer is [Y],0.5,No,P19
15,Was [P19_FA] an [P19_FB]-born person? No. Was [P19_TA] an [P19_TB]-born person? Yes. Was [W] an [X]-born person? I am sure my answer is [Y],0.5,No,P19
16,Was [P19_FA] born in [P19_FB]? No. Was [P19_TA] born in [P19_TB]? Yes. Was [W] born in [X]? I am sure my answer is [Y],0.5,No,P19
17,Was [P19_FA] native to [P19_FB]? No. Was [P19_TA] native to [P19_TB]? Yes. Was [W] native to [X]? I am sure my answer is [Y],0.5,No,P19
18,Was [P19_FA] originally from [P19_FB]? No. Was [P19_TA] originally from [P19_TB]? Yes. Was [W] originally from [X]? I am sure my answer is [Y],0.5,No,P19
19,Was [P19_FB] [P19_FA]'s birthplace? No. Was [P19_TB] [P19_TA]'s birthplace? Yes. Was [X] [W]'s birthplace? I am sure my answer is [Y],0.5,No,P19
20,Was [P19_FB] [P19_FA]'s place of birth? No. Was [P19_TB] [P19_TA]'s place of birth? Yes. Was [X] [W]'s place of birth? I am sure my answer is [Y],0.5,No,P19
21,Did [P20_FA] die at [P20_FB]? No. Did [P20_TA] die at [P20_TB]? Yes. Did [W] die at [X]? I am sure my answer is [Y],0.5,No,P20
22,Did [P20_FA] die in [P20_FB]? No. Did [P20_TA] die in [P20_TB]? Yes. Did [W] die in [X]? I am sure my answer is [Y],0.5,No,P20
23,Did [P20_FA] expire at [P20_FB]? No. Did [P20_TA] expire at [P20_TB]? Yes. Did [W] expire at [X]? I am sure my answer is [Y],0.5,No,P20
24,Did [P20_FA] expire in [P20_FB]? No. Did [P20_TA] expire in [P20_TB]? Yes. Did [W] expire in [X]? I am sure my answer is [Y],0.5,No,P20
25,Did [P20_FA] lose their life at [P20_FB]? No. Did [P20_TA] lose their life at [P20_TB]? Yes. Did [W] lose their life at [X]? I am sure my answer is [Y],0.5,No,P20
26,Did [P20_FA] lose their life in [P20_FB]? No. Did [P20_TA] lose their life in [P20_TB]? Yes. Did [W] lose their life in [X]? I am sure my answer is [Y],0.5,No,P20
27,Did [P20_FA] pass away at [P20_FB]? No. Did [P20_TA] pass away at [P20_TB]? Yes. Did [W] pass away at [X]? I am sure my answer is [Y],0.5,No,P20
28,Did [P20_FA] pass away in [P20_FB]? No. Did [P20_TA] pass away in [P20_TB]? Yes. Did [W] pass away in [X]? I am sure my answer is [Y],0.5,No,P20
29,Did [P20_FA] succumb at [P20_FB]? No. Did [P20_TA] succumb at [P20_TB]? Yes. Did [W] succumb at [X]? I am sure my answer is [Y],0.5,No,P20
30,Did [P20_FA] succumb in [P20_FB]? No. Did [P20_TA] succumb in [P20_TB]? Yes. Did [W] succumb in [X]? I am sure my answer is [Y],0.5,No,P20
31,Did [P20_FA]'s life end at [P20_FB]? No. Did [P20_TA]'s life end at [P20_TB]? Yes. Did [W]'s life end at [X]? I am sure my answer is [Y],0.5,No,P20
32,Did [P20_FA]'s life end in [P20_FB]? No. Did [P20_TA]'s life end in [P20_TB]? Yes. Did [W]'s life end in [X]? I am sure my answer is [Y],0.5,No,P20
33,Is [P20_FB] [P20_FA]'s death location? No. Is [P20_TB] [P20_TA]'s death location? Yes. Is [X] [W]'s death location? I am sure my answer is [Y],0.5,No,P20
34,Is [P20_FB] [P20_FA]'s death place? No. Is [P20_TB] [P20_TA]'s death place? Yes. Is [X] [W]'s death place? I am sure my answer is [Y],0.5,No,P20
