,question,acc,target,fact
0,Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [P103_FA] speak [P103_FB] as a mother tongue? No. Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [W] speak [X] as a mother tongue? obviously [Y],0.49129989764585463,Yes,P103
1,Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [P103_FA] speak [P103_FB] as a native language? No. Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [W] speak [X] as a native language? obviously [Y],0.48771750255885365,Yes,P103
2,Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [P103_FB] [P103_FA]'s mother tongue? No. Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [X] [W]'s mother tongue? obviously [Y],0.4938587512794268,Yes,P103
3,Is [P103_TB] [P103_TA]'s native language? Yes. Is [P103_FB] [P103_FA]'s native language? No. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? obviously [Y],0.49641760491299897,Yes,P103
4,Does [P108_TA] work for [P108_TB]? Yes. Does [P108_FA] work for [P108_FB]? No. Does [P108_TA] work for [P108_TB]? Yes. Does [W] work for [X]? obviously [Y],0.391644908616188,Yes,P108
5,Is [P108_TA] employed by [P108_TB]? Yes. Is [P108_FA] employed by [P108_FB]? No. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? obviously [Y],0.47389033942558745,Yes,P108
6,Did [P19_TA] originate from [P19_TB]? Yes. Did [P19_FA] originate from [P19_FB]? No. Did [P19_TA] originate from [P19_TB]? Yes. Did [W] originate from [X]? obviously [Y],0.4904661016949153,Yes,P19
7,Does [P19_TA] originate from [P19_TB]? Yes. Does [P19_FA] originate from [P19_FB]? No. Does [P19_TA] originate from [P19_TB]? Yes. Does [W] originate from [X]? obviously [Y],0.4947033898305085,Yes,P19
8,Is [P19_TA] a [P19_TB]-born person? Yes. Is [P19_FA] a [P19_FB]-born person? No. Is [P19_TA] a [P19_TB]-born person? Yes. Is [W] a [X]-born person? obviously [Y],0.3691737288135593,Yes,P19
9,Is [P19_TA] an [P19_TB]-born person? Yes. Is [P19_FA] an [P19_FB]-born person? No. Is [P19_TA] an [P19_TB]-born person? Yes. Is [W] an [X]-born person? obviously [Y],0.3342161016949153,Yes,P19
10,Is [P19_TA] native to [P19_TB]? Yes. Is [P19_FA] native to [P19_FB]? No. Is [P19_TA] native to [P19_TB]? Yes. Is [W] native to [X]? obviously [Y],0.4343220338983051,Yes,P19
11,Is [P19_TA] originally from [P19_TB]? Yes. Is [P19_FA] originally from [P19_FB]? No. Is [P19_TA] originally from [P19_TB]? Yes. Is [W] originally from [X]? obviously [Y],0.4682203389830508,Yes,P19
12,Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [P19_FB] [P19_FA]'s birthplace? No. Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [X] [W]'s birthplace? obviously [Y],0.2579449152542373,Yes,P19
