,question,acc,target,fact
0,Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [W] speak [X] as a mother tongue? I am sure my answer is [Y],0.4744114636642784,No,P103
1,Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [W] speak [X] as a native language? I am sure my answer is [Y],0.4836233367451382,No,P103
2,Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [X] [W]'s mother tongue? I am sure my answer is [Y],0.43961105424769703,No,P103
3,Is [P103_TB] [P103_TA]'s native language? Yes. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? I am sure my answer is [Y],0.4713408393039918,No,P103
4,Does [P108_TA] work for [P108_TB]? Yes. Does [P108_TA] work for [P108_TB]? Yes. Does [W] work for [X]? I am sure my answer is [Y],0.5,No,P108
5,Is [P108_TA] employed by [P108_TB]? Yes. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? I am sure my answer is [Y],0.5,No,P108
6,Did [P19_TA] originate from [P19_TB]? Yes. Did [P19_TA] originate from [P19_TB]? Yes. Did [W] originate from [X]? I am sure my answer is [Y],0.4989406779661017,No,P19
7,Does [P19_TA] originate from [P19_TB]? Yes. Does [P19_TA] originate from [P19_TB]? Yes. Does [W] originate from [X]? I am sure my answer is [Y],0.4957627118644068,No,P19
8,Is [P19_TA] a [P19_TB]-born person? Yes. Is [P19_TA] a [P19_TB]-born person? Yes. Is [W] a [X]-born person? I am sure my answer is [Y],0.4947033898305085,No,P19
9,Is [P19_TA] an [P19_TB]-born person? Yes. Is [P19_TA] an [P19_TB]-born person? Yes. Is [W] an [X]-born person? I am sure my answer is [Y],0.4952330508474576,No,P19
10,Is [P19_TA] native to [P19_TB]? Yes. Is [P19_TA] native to [P19_TB]? Yes. Is [W] native to [X]? I am sure my answer is [Y],0.4968220338983051,No,P19
11,Is [P19_TA] originally from [P19_TB]? Yes. Is [P19_TA] originally from [P19_TB]? Yes. Is [W] originally from [X]? I am sure my answer is [Y],0.4994703389830508,No,P19
12,Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [X] [W]'s birthplace? I am sure my answer is [Y],0.4856991525423729,No,P19
