,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? obviously [Y],0.07062436028659161,Yes,P103
1,Does [W] speak [X] as a native language? obviously [Y],0.03326509723643808,Yes,P103
2,Is [X] [W]'s mother tongue? obviously [Y],0.030706243602865915,Yes,P103
3,Is [X] [W]'s native language? obviously [Y],0.02098259979529171,Yes,P103
4,Does [W] work for [X]? obviously [Y],0.0,Yes,P108
5,Is [W] employed by [X]? obviously [Y],0.0039164490861618795,Yes,P108
6,Did [W] originate from [X]? obviously [Y],0.1896186440677966,Yes,P19
7,Does [W] originate from [X]? obviously [Y],0.1483050847457627,Yes,P19
8,Is [W] a [X]-born person? obviously [Y],0.05402542372881356,Yes,P19
9,Is [W] an [X]-born person? obviously [Y],0.04766949152542373,Yes,P19
10,Is [W] native to [X]? obviously [Y],0.014830508474576272,Yes,P19
11,Is [W] originally from [X]? obviously [Y],0.014830508474576272,Yes,P19
12,Is [X] [W]'s birthplace? obviously [Y],0.006355932203389831,Yes,P19
13,Is [X] [W]'s place of birth? obviously [Y],0.003707627118644068,Yes,P19
14,Was [W] a [X]-born person? obviously [Y],0.04343220338983051,Yes,P19
15,Was [W] an [X]-born person? obviously [Y],0.04025423728813559,Yes,P19
16,Was [W] born in [X]? obviously [Y],0.02754237288135593,Yes,P19
17,Was [W] native to [X]? obviously [Y],0.012711864406779662,Yes,P19
18,Was [W] originally from [X]? obviously [Y],0.005296610169491525,Yes,P19
19,Was [X] [W]'s birthplace? obviously [Y],0.0026483050847457626,Yes,P19
20,Was [X] [W]'s place of birth? obviously [Y],0.0026483050847457626,Yes,P19
21,Did [W] die at [X]? obviously [Y],0.008919202518363064,Yes,P20
22,Did [W] die in [X]? obviously [Y],0.013641133263378805,Yes,P20
23,Did [W] expire at [X]? obviously [Y],0.001049317943336831,Yes,P20
24,Did [W] expire in [X]? obviously [Y],0.0031479538300104933,Yes,P20
25,Did [W] lose their life at [X]? obviously [Y],0.030430220356768102,Yes,P20
26,Did [W] lose their life in [X]? obviously [Y],0.03515215110178384,Yes,P20
27,Did [W] pass away at [X]? obviously [Y],0.008394543546694649,Yes,P20
28,Did [W] pass away in [X]? obviously [Y],0.012067156348373556,Yes,P20
29,Did [W] succumb at [X]? obviously [Y],0.017838405036726127,Yes,P20
30,Did [W] succumb in [X]? obviously [Y],0.019412381951731374,Yes,P20
31,Did [W]'s life end at [X]? obviously [Y],0.01049317943336831,Yes,P20
32,Did [W]'s life end in [X]? obviously [Y],0.01049317943336831,Yes,P20
33,Is [X] [W]'s death location? obviously [Y],0.0,Yes,P20
34,Is [X] [W]'s death place? obviously [Y],0.0,Yes,P20
35,Is [X] [W]'s place of death? obviously [Y],0.0026232948583420775,Yes,P20
36,Was [X] [W]'s death location? obviously [Y],0.0,Yes,P20
37,Was [X] [W]'s death place? obviously [Y],0.0,Yes,P20
38,Was [X] [W]'s place of death? obviously [Y],0.0031479538300104933,Yes,P20
39,Does [W] belong to continent [X]? obviously [Y],0.0005128205128205128,Yes,P30
40,Does [W] belong to the continent of [X]? obviously [Y],0.0071794871794871795,Yes,P30
41,Is [W] a part of continent [X]? obviously [Y],0.0,Yes,P30
42,Is [W] a part of the continent [X]? obviously [Y],0.0,Yes,P30
43,Is [W] a part of the continent of [X]? obviously [Y],0.0010256410256410256,Yes,P30
44,Is [W] located in [X]? obviously [Y],0.0,Yes,P30
45,Is [W] located in continent [X]? obviously [Y],0.0,Yes,P30
46,Is [W] located in the [X] continent? obviously [Y],0.0005128205128205128,Yes,P30
47,Is [W] located in the continent [X]? obviously [Y],0.0,Yes,P30
48,Is [W] part of the [X] continent? obviously [Y],0.0005128205128205128,Yes,P30
49,Is [X] [W]'s continent? obviously [Y],0.0,Yes,P30
50,Is [X] the continent of [W]? obviously [Y],0.0005128205128205128,Yes,P30
51,Did [W] have the [X] position? obviously [Y],0.0011210762331838565,Yes,P39
52,Did [W] have the [X] role? obviously [Y],0.0033632286995515697,Yes,P39
53,Did [W] have the official [X] position? obviously [Y],0.0,Yes,P39
54,Did [W] have the official [X] role? obviously [Y],0.0005605381165919282,Yes,P39
55,Did [W] have the official position of [X]? obviously [Y],0.0072869955156950675,Yes,P39
56,Did [W] have the official role of [X]? obviously [Y],0.011210762331838564,Yes,P39
