,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? As far as I know [Y],0.3091095189355169,No,P103
1,Does [W] speak [X] as a native language? As far as I know [Y],0.4165813715455476,No,P103
2,Is [X] [W]'s mother tongue? As far as I know [Y],0.3741044012282497,No,P103
3,Is [X] [W]'s native language? As far as I know [Y],0.44626407369498466,No,P103
4,Does [W] work for [X]? As far as I know [Y],0.48825065274151436,No,P108
5,Is [W] employed by [X]? As far as I know [Y],0.49477806788511747,No,P108
6,Did [W] originate from [X]? As far as I know [Y],0.4962923728813559,No,P19
7,Does [W] originate from [X]? As far as I know [Y],0.4809322033898305,No,P19
8,Is [W] a [X]-born person? As far as I know [Y],0.4528601694915254,No,P19
9,Is [W] an [X]-born person? As far as I know [Y],0.4708686440677966,No,P19
10,Is [W] native to [X]? As far as I know [Y],0.4173728813559322,No,P19
11,Is [W] originally from [X]? As far as I know [Y],0.486228813559322,No,P19
12,Is [X] [W]'s birthplace? As far as I know [Y],0.4793432203389831,No,P19
13,Is [X] [W]'s place of birth? As far as I know [Y],0.4745762711864407,No,P19
14,Was [W] a [X]-born person? As far as I know [Y],0.4406779661016949,No,P19
15,Was [W] an [X]-born person? As far as I know [Y],0.4608050847457627,No,P19
16,Was [W] born in [X]? As far as I know [Y],0.454978813559322,No,P19
17,Was [W] native to [X]? As far as I know [Y],0.4205508474576271,No,P19
18,Was [W] originally from [X]? As far as I know [Y],0.4904661016949153,No,P19
19,Was [X] [W]'s birthplace? As far as I know [Y],0.4804025423728814,No,P19
20,Was [X] [W]'s place of birth? As far as I know [Y],0.4772245762711864,No,P19
21,Did [W] die at [X]? As far as I know [Y],0.487408184679958,No,P20
22,Did [W] die in [X]? As far as I know [Y],0.48530954879328436,No,P20
23,Did [W] expire at [X]? As far as I know [Y],0.49422875131164745,No,P20
24,Did [W] expire in [X]? As far as I know [Y],0.49422875131164745,No,P20
25,Did [W] lose their life at [X]? As far as I know [Y],0.49737670514165794,No,P20
26,Did [W] lose their life in [X]? As far as I know [Y],0.49737670514165794,No,P20
27,Did [W] pass away at [X]? As far as I know [Y],0.49580272822665267,No,P20
28,Did [W] pass away in [X]? As far as I know [Y],0.4968520461699895,No,P20
29,Did [W] succumb at [X]? As far as I know [Y],0.49055613850996854,No,P20
30,Did [W] succumb in [X]? As far as I know [Y],0.49527806925498424,No,P20
31,Did [W]'s life end at [X]? As far as I know [Y],0.49737670514165794,No,P20
32,Did [W]'s life end in [X]? As far as I know [Y],0.49737670514165794,No,P20
33,Is [X] [W]'s death location? As far as I know [Y],0.5,No,P20
34,Is [X] [W]'s death place? As far as I know [Y],0.4994753410283316,No,P20
35,Is [X] [W]'s place of death? As far as I know [Y],0.49895068205666315,No,P20
36,Was [X] [W]'s death location? As far as I know [Y],0.5,No,P20
37,Was [X] [W]'s death place? As far as I know [Y],0.4968520461699895,No,P20
38,Was [X] [W]'s place of death? As far as I know [Y],0.49737670514165794,No,P20
39,Does [W] belong to continent [X]? As far as I know [Y],0.4969230769230769,No,P30
40,Does [W] belong to the continent of [X]? As far as I know [Y],0.4866666666666667,No,P30
41,Is [W] a part of continent [X]? As far as I know [Y],0.49948717948717947,No,P30
42,Is [W] a part of the continent [X]? As far as I know [Y],0.498974358974359,No,P30
43,Is [W] a part of the continent of [X]? As far as I know [Y],0.4958974358974359,No,P30
44,Is [W] located in [X]? As far as I know [Y],0.4979487179487179,No,P30
45,Is [W] located in continent [X]? As far as I know [Y],0.49846153846153846,No,P30
46,Is [W] located in the [X] continent? As far as I know [Y],0.49846153846153846,No,P30
47,Is [W] located in the continent [X]? As far as I know [Y],0.498974358974359,No,P30
48,Is [W] part of the [X] continent? As far as I know [Y],0.49743589743589745,No,P30
49,Is [X] [W]'s continent? As far as I know [Y],0.49948717948717947,No,P30
50,Is [X] the continent of [W]? As far as I know [Y],0.49948717948717947,No,P30
51,Did [W] have the [X] position? As far as I know [Y],0.49495515695067266,No,P39
52,Did [W] have the [X] role? As far as I know [Y],0.4966367713004484,No,P39
53,Did [W] have the official [X] position? As far as I know [Y],0.4994394618834081,No,P39
54,Did [W] have the official [X] role? As far as I know [Y],0.492152466367713,No,P39
55,Did [W] have the official position of [X]? As far as I know [Y],0.4904708520179372,No,P39
56,Did [W] have the official role of [X]? As far as I know [Y],0.48654708520179374,No,P39
57,Did [W] have the position of [X]? As far as I know [Y],0.49271300448430494,No,P39
58,Did [W] have the public [X] position? As far as I know [Y],0.4971973094170404,No,P39
59,Did [W] have the public [X] role? As far as I know [Y],0.4899103139013453,No,P39
60,Did [W] have the public position of [X]? As far as I know [Y],0.4904708520179372,No,P39
61,Did [W] have the public role of [X]? As far as I know [Y],0.4792600896860987,No,P39
62,Did [W] have the role of [X]? As far as I know [Y],0.48094170403587444,No,P39
