,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 99% sure the answer is: [Y],0.13868986693961105,No,P103
1,Does [W] speak [X] as a native language? I am 99% sure the answer is: [Y],0.2932446264073695,No,P103
2,Is [X] [W]'s mother tongue? I am 99% sure the answer is: [Y],0.057318321392016376,No,P103
3,Is [X] [W]'s native language? I am 99% sure the answer is: [Y],0.03172978505629478,No,P103
4,Does [W] work for [X]? I am 99% sure the answer is: [Y],0.41906005221932113,No,P108
5,Is [W] employed by [X]? I am 99% sure the answer is: [Y],0.49477806788511747,No,P108
6,Did [W] originate from [X]? I am 99% sure the answer is: [Y],0.12658898305084745,No,P19
7,Does [W] originate from [X]? I am 99% sure the answer is: [Y],0.0715042372881356,No,P19
8,Is [W] a [X]-born person? I am 99% sure the answer is: [Y],0.3072033898305085,No,P19
9,Is [W] an [X]-born person? I am 99% sure the answer is: [Y],0.3310381355932203,No,P19
10,Is [W] native to [X]? I am 99% sure the answer is: [Y],0.0211864406779661,No,P19
11,Is [W] originally from [X]? I am 99% sure the answer is: [Y],0.006885593220338983,No,P19
12,Is [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.06408898305084745,No,P19
13,Is [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.12447033898305085,No,P19
14,Was [W] a [X]-born person? I am 99% sure the answer is: [Y],0.1652542372881356,No,P19
15,Was [W] an [X]-born person? I am 99% sure the answer is: [Y],0.16684322033898305,No,P19
16,Was [W] born in [X]? I am 99% sure the answer is: [Y],0.11440677966101695,No,P19
17,Was [W] native to [X]? I am 99% sure the answer is: [Y],0.011652542372881356,No,P19
18,Was [W] originally from [X]? I am 99% sure the answer is: [Y],0.057733050847457626,No,P19
19,Was [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.15254237288135594,No,P19
20,Was [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.09957627118644068,No,P19
21,Did [W] die at [X]? I am 99% sure the answer is: [Y],0.4003147953830011,No,P20
22,Did [W] die in [X]? I am 99% sure the answer is: [Y],0.37985309548793283,No,P20
23,Did [W] expire at [X]? I am 99% sure the answer is: [Y],0.4826862539349423,No,P20
24,Did [W] expire in [X]? I am 99% sure the answer is: [Y],0.4564533053515215,No,P20
25,Did [W] lose their life at [X]? I am 99% sure the answer is: [Y],0.4931794333683106,No,P20
26,Did [W] lose their life in [X]? I am 99% sure the answer is: [Y],0.4910807974816369,No,P20
27,Did [W] pass away at [X]? I am 99% sure the answer is: [Y],0.3882476390346275,No,P20
28,Did [W] pass away in [X]? I am 99% sure the answer is: [Y],0.34207764952780695,No,P20
29,Did [W] succumb at [X]? I am 99% sure the answer is: [Y],0.4858342077649528,No,P20
30,Did [W] succumb in [X]? I am 99% sure the answer is: [Y],0.47639034627492133,No,P20
31,Did [W]'s life end at [X]? I am 99% sure the answer is: [Y],0.47848898216159497,No,P20
32,Did [W]'s life end in [X]? I am 99% sure the answer is: [Y],0.45015739769150054,No,P20
33,Is [X] [W]'s death location? I am 99% sure the answer is: [Y],0.08919202518363065,No,P20
34,Is [X] [W]'s death place? I am 99% sure the answer is: [Y],0.2061909758656873,No,P20
35,Is [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.43651626442812175,No,P20
36,Was [X] [W]'s death location? I am 99% sure the answer is: [Y],0.20514165792235048,No,P20
37,Was [X] [W]'s death place? I am 99% sure the answer is: [Y],0.24134312696747115,No,P20
38,Was [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.43809024134312696,No,P20
39,Does [W] belong to continent [X]? I am 99% sure the answer is: [Y],0.49435897435897436,No,P30
40,Does [W] belong to the continent of [X]? I am 99% sure the answer is: [Y],0.49743589743589745,No,P30
41,Is [W] a part of continent [X]? I am 99% sure the answer is: [Y],0.44051282051282054,No,P30
42,Is [W] a part of the continent [X]? I am 99% sure the answer is: [Y],0.4928205128205128,No,P30
43,Is [W] a part of the continent of [X]? I am 99% sure the answer is: [Y],0.48102564102564105,No,P30
44,Is [W] located in [X]? I am 99% sure the answer is: [Y],0.4641025641025641,No,P30
45,Is [W] located in continent [X]? I am 99% sure the answer is: [Y],0.49025641025641026,No,P30
46,Is [W] located in the [X] continent? I am 99% sure the answer is: [Y],0.47846153846153844,No,P30
47,Is [W] located in the continent [X]? I am 99% sure the answer is: [Y],0.4938461538461538,No,P30
48,Is [W] part of the [X] continent? I am 99% sure the answer is: [Y],0.37538461538461537,No,P30
49,Is [X] [W]'s continent? I am 99% sure the answer is: [Y],0.44051282051282054,No,P30
50,Is [X] the continent of [W]? I am 99% sure the answer is: [Y],0.46,No,P30
51,Did [W] have the [X] position? I am 99% sure the answer is: [Y],0.48710762331838564,No,P39
52,Did [W] have the [X] role? I am 99% sure the answer is: [Y],0.47141255605381166,No,P39
