,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am sure my answer is: [Y],0.1187308085977482,No,P103
1,Does [W] speak [X] as a native language? I am sure my answer is: [Y],0.14176049129989765,No,P103
2,Is [X] [W]'s mother tongue? I am sure my answer is: [Y],0.0,No,P103
3,Is [X] [W]'s native language? I am sure my answer is: [Y],0.0,No,P103
4,Does [W] work for [X]? I am sure my answer is: [Y],0.38903394255874674,No,P108
5,Is [W] employed by [X]? I am sure my answer is: [Y],0.4255874673629243,No,P108
6,Did [W] originate from [X]? I am sure my answer is: [Y],0.04290254237288135,No,P19
7,Does [W] originate from [X]? I am sure my answer is: [Y],0.059322033898305086,No,P19
8,Is [W] a [X]-born person? I am sure my answer is: [Y],0.0826271186440678,No,P19
9,Is [W] an [X]-born person? I am sure my answer is: [Y],0.09322033898305085,No,P19
10,Is [W] native to [X]? I am sure my answer is: [Y],0.00211864406779661,No,P19
11,Is [W] originally from [X]? I am sure my answer is: [Y],0.0005296610169491525,No,P19
12,Is [X] [W]'s birthplace? I am sure my answer is: [Y],0.007944915254237288,No,P19
13,Is [X] [W]'s place of birth? I am sure my answer is: [Y],0.08686440677966102,No,P19
14,Was [W] a [X]-born person? I am sure my answer is: [Y],0.024364406779661018,No,P19
15,Was [W] an [X]-born person? I am sure my answer is: [Y],0.02701271186440678,No,P19
16,Was [W] born in [X]? I am sure my answer is: [Y],0.046610169491525424,No,P19
17,Was [W] native to [X]? I am sure my answer is: [Y],0.0005296610169491525,No,P19
18,Was [W] originally from [X]? I am sure my answer is: [Y],0.00211864406779661,No,P19
19,Was [X] [W]'s birthplace? I am sure my answer is: [Y],0.015360169491525424,No,P19
20,Was [X] [W]'s place of birth? I am sure my answer is: [Y],0.05455508474576271,No,P19
21,Did [W] die at [X]? I am sure my answer is: [Y],0.46222455403987406,No,P20
22,Did [W] die in [X]? I am sure my answer is: [Y],0.46432318992654775,No,P20
23,Did [W] expire at [X]? I am sure my answer is: [Y],0.4968520461699895,No,P20
24,Did [W] expire in [X]? I am sure my answer is: [Y],0.49213011542497376,No,P20
25,Did [W] lose their life at [X]? I am sure my answer is: [Y],0.4926547743966422,No,P20
26,Did [W] lose their life in [X]? I am sure my answer is: [Y],0.4895068205666317,No,P20
27,Did [W] pass away at [X]? I am sure my answer is: [Y],0.4302203567681007,No,P20
28,Did [W] pass away in [X]? I am sure my answer is: [Y],0.43074501573976914,No,P20
29,Did [W] succumb at [X]? I am sure my answer is: [Y],0.49422875131164745,No,P20
30,Did [W] succumb in [X]? I am sure my answer is: [Y],0.487408184679958,No,P20
31,Did [W]'s life end at [X]? I am sure my answer is: [Y],0.4931794333683106,No,P20
32,Did [W]'s life end in [X]? I am sure my answer is: [Y],0.4900314795383001,No,P20
33,Is [X] [W]'s death location? I am sure my answer is: [Y],0.16684155299055614,No,P20
34,Is [X] [W]'s death place? I am sure my answer is: [Y],0.31532004197271774,No,P20
35,Is [X] [W]'s place of death? I am sure my answer is: [Y],0.4805876180482686,No,P20
36,Was [X] [W]'s death location? I am sure my answer is: [Y],0.19045120671563484,No,P20
37,Was [X] [W]'s death place? I am sure my answer is: [Y],0.2728226652675761,No,P20
38,Was [X] [W]'s place of death? I am sure my answer is: [Y],0.44123819517313745,No,P20
39,Does [W] belong to continent [X]? I am sure my answer is: [Y],0.46615384615384614,No,P30
40,Does [W] belong to the continent of [X]? I am sure my answer is: [Y],0.4646153846153846,No,P30
41,Is [W] a part of continent [X]? I am sure my answer is: [Y],0.18256410256410258,No,P30
42,Is [W] a part of the continent [X]? I am sure my answer is: [Y],0.24974358974358973,No,P30
43,Is [W] a part of the continent of [X]? I am sure my answer is: [Y],0.14051282051282052,No,P30
44,Is [W] located in [X]? I am sure my answer is: [Y],0.19589743589743588,No,P30
45,Is [W] located in continent [X]? I am sure my answer is: [Y],0.30666666666666664,No,P30
46,Is [W] located in the [X] continent? I am sure my answer is: [Y],0.1753846153846154,No,P30
47,Is [W] located in the continent [X]? I am sure my answer is: [Y],0.2558974358974359,No,P30
48,Is [W] part of the [X] continent? I am sure my answer is: [Y],0.05897435897435897,No,P30
49,Is [X] [W]'s continent? I am sure my answer is: [Y],0.321025641025641,No,P30
50,Is [X] the continent of [W]? I am sure my answer is: [Y],0.16923076923076924,No,P30
51,Did [W] have the [X] position? I am sure my answer is: [Y],0.4602017937219731,No,P39
52,Did [W] have the [X] role? I am sure my answer is: [Y],0.4086322869955157,No,P39
53,Did [W] have the official [X] position? I am sure my answer is: [Y],0.4798206278026906,No,P39
54,Did [W] have the official [X] role? I am sure my answer is: [Y],0.4585201793721973,No,P39
55,Did [W] have the official position of [X]? I am sure my answer is: [Y],0.4288116591928251,No,P39
56,Did [W] have the official role of [X]? I am sure my answer is: [Y],0.3396860986547085,No,P39
57,Did [W] have the position of [X]? I am sure my answer is: [Y],0.41760089686098656,No,P39
58,Did [W] have the public [X] position? I am sure my answer is: [Y],0.4523542600896861,No,P39
59,Did [W] have the public [X] role? I am sure my answer is: [Y],0.37051569506726456,No,P39
60,Did [W] have the public position of [X]? I am sure my answer is: [Y],0.3251121076233184,No,P39
61,Did [W] have the public role of [X]? I am sure my answer is: [Y],0.26345291479820626,No,P39
62,Did [W] have the role of [X]? I am sure my answer is: [Y],0.3245515695067265,No,P39
63,Did [W] hold the [X] position? I am sure my answer is: [Y],0.4467488789237668,No,P39
64,Did [W] hold the [X] role? I am sure my answer is: [Y],0.41143497757847536,No,P39
65,Did [W] hold the official [X] position? I am sure my answer is: [Y],0.4697309417040359,No,P39
66,Did [W] hold the official [X] role? I am sure my answer is: [Y],0.461322869955157,No,P39
67,Did [W] hold the official position of [X]? I am sure my answer is: [Y],0.39798206278026904,No,P39
68,Did [W] hold the official role of [X]? I am sure my answer is: [Y],0.3873318385650224,No,P39
69,Did [W] hold the position of [X]? I am sure my answer is: [Y],0.36827354260089684,No,P39
70,Did [W] hold the public [X] position? I am sure my answer is: [Y],0.4562780269058296,No,P39
71,Did [W] hold the public [X] role? I am sure my answer is: [Y],0.40919282511210764,No,P39
72,Did [W] hold the public position of [X]? I am sure my answer is: [Y],0.3957399103139013,No,P39
73,Did [W] hold the public role of [X]? I am sure my answer is: [Y],0.32847533632286996,No,P39
74,Did [W] hold the role of [X]? I am sure my answer is: [Y],0.32623318385650224,No,P39
75,Did [W] officially hold the [X] position? I am sure my answer is: [Y],0.4915919282511211,No,P39
76,Did [W] officially hold the [X] role? I am sure my answer is: [Y],0.48374439461883406,No,P39
77,Did [W] officially hold the position of [X]? I am sure my answer is: [Y],0.4422645739910314,No,P39
78,Did [W] officially hold the public [X] position? I am sure my answer is: [Y],0.49271300448430494,No,P39
79,Did [W] officially hold the public [X] role? I am sure my answer is: [Y],0.484304932735426,No,P39
80,Did [W] officially hold the public position of [X]? I am sure my answer is: [Y],0.45683856502242154,No,P39
81,Did [W] officially hold the public role of [X]? I am sure my answer is: [Y],0.4495515695067265,No,P39
82,Did [W] officially hold the role of [X]? I am sure my answer is: [Y],0.45123318385650224,No,P39
83,Does [W] have the [X] position? I am sure my answer is: [Y],0.49887892376681614,No,P39
84,Does [W] have the [X] role? I am sure my answer is: [Y],0.49831838565022424,No,P39
85,Does [W] have the official [X] position? I am sure my answer is: [Y],0.4994394618834081,No,P39
86,Does [W] have the official [X] role? I am sure my answer is: [Y],0.49887892376681614,No,P39
87,Does [W] have the official position of [X]? I am sure my answer is: [Y],0.48654708520179374,No,P39
88,Does [W] have the official role of [X]? I am sure my answer is: [Y],0.4854260089686099,No,P39
89,Does [W] have the position of [X]? I am sure my answer is: [Y],0.4943946188340807,No,P39
90,Does [W] have the public [X] position? I am sure my answer is: [Y],0.4994394618834081,No,P39
91,Does [W] have the public [X] role? I am sure my answer is: [Y],0.4971973094170404,No,P39
92,Does [W] have the public position of [X]? I am sure my answer is: [Y],0.48654708520179374,No,P39
93,Does [W] have the public role of [X]? I am sure my answer is: [Y],0.4848654708520179,No,P39
94,Does [W] have the role of [X]? I am sure my answer is: [Y],0.4730941704035874,No,P39
95,Does [W] hold the [X] position? I am sure my answer is: [Y],0.5,No,P39
96,Does [W] hold the [X] role? I am sure my answer is: [Y],0.49831838565022424,No,P39
97,Does [W] hold the official [X] position? I am sure my answer is: [Y],0.5,No,P39
