,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I would need to double check but maybe [Y],0.18167860798362334,No,P103
1,Does [W] speak [X] as a native language? I would need to double check but maybe [Y],0.22364380757420677,No,P103
2,Is [X] [W]'s mother tongue? I would need to double check but maybe [Y],0.12794268167860798,No,P103
3,Is [X] [W]'s native language? I would need to double check but maybe [Y],0.14687819856704196,No,P103
4,Does [W] work for [X]? I would need to double check but maybe [Y],0.47127937336814624,No,P108
5,Is [W] employed by [X]? I would need to double check but maybe [Y],0.4660574412532637,No,P108
6,Did [W] originate from [X]? I would need to double check but maybe [Y],0.3204449152542373,No,P19
7,Does [W] originate from [X]? I would need to double check but maybe [Y],0.2330508474576271,No,P19
8,Is [W] a [X]-born person? I would need to double check but maybe [Y],0.2833686440677966,No,P19
9,Is [W] an [X]-born person? I would need to double check but maybe [Y],0.305614406779661,No,P19
10,Is [W] native to [X]? I would need to double check but maybe [Y],0.21398305084745764,No,P19
11,Is [W] originally from [X]? I would need to double check but maybe [Y],0.18273305084745764,No,P19
12,Is [X] [W]'s birthplace? I would need to double check but maybe [Y],0.2621822033898305,No,P19
13,Is [X] [W]'s place of birth? I would need to double check but maybe [Y],0.3760593220338983,No,P19
14,Was [W] a [X]-born person? I would need to double check but maybe [Y],0.2992584745762712,No,P19
15,Was [W] an [X]-born person? I would need to double check but maybe [Y],0.3363347457627119,No,P19
16,Was [W] born in [X]? I would need to double check but maybe [Y],0.22404661016949154,No,P19
17,Was [W] native to [X]? I would need to double check but maybe [Y],0.21610169491525424,No,P19
18,Was [W] originally from [X]? I would need to double check but maybe [Y],0.3114406779661017,No,P19
19,Was [X] [W]'s birthplace? I would need to double check but maybe [Y],0.3675847457627119,No,P19
20,Was [X] [W]'s place of birth? I would need to double check but maybe [Y],0.420021186440678,No,P19
21,Did [W] die at [X]? I would need to double check but maybe [Y],0.35099685204617,No,P20
22,Did [W] die in [X]? I would need to double check but maybe [Y],0.3011542497376705,No,P20
23,Did [W] expire at [X]? I would need to double check but maybe [Y],0.47166841552990557,No,P20
24,Did [W] expire in [X]? I would need to double check but maybe [Y],0.4669464847848898,No,P20
25,Did [W] lose their life at [X]? I would need to double check but maybe [Y],0.38352570828961174,No,P20
26,Did [W] lose their life in [X]? I would need to double check but maybe [Y],0.3478488982161595,No,P20
27,Did [W] pass away at [X]? I would need to double check but maybe [Y],0.3772298006295908,No,P20
28,Did [W] pass away in [X]? I would need to double check but maybe [Y],0.35257082896117525,No,P20
29,Did [W] succumb at [X]? I would need to double check but maybe [Y],0.3772298006295908,No,P20
30,Did [W] succumb in [X]? I would need to double check but maybe [Y],0.3620146904512067,No,P20
31,Did [W]'s life end at [X]? I would need to double check but maybe [Y],0.3861490031479538,No,P20
32,Did [W]'s life end in [X]? I would need to double check but maybe [Y],0.363588667366212,No,P20
33,Is [X] [W]'s death location? I would need to double check but maybe [Y],0.4753410283315845,No,P20
34,Is [X] [W]'s death place? I would need to double check but maybe [Y],0.40293809024134314,No,P20
35,Is [X] [W]'s place of death? I would need to double check but maybe [Y],0.4653725078698846,No,P20
36,Was [X] [W]'s death location? I would need to double check but maybe [Y],0.48898216159496327,No,P20
37,Was [X] [W]'s death place? I would need to double check but maybe [Y],0.4559286463798531,No,P20
38,Was [X] [W]'s place of death? I would need to double check but maybe [Y],0.48111227701993703,No,P20
39,Does [W] belong to continent [X]? I would need to double check but maybe [Y],0.45897435897435895,No,P30
40,Does [W] belong to the continent of [X]? I would need to double check but maybe [Y],0.4235897435897436,No,P30
41,Is [W] a part of continent [X]? I would need to double check but maybe [Y],0.418974358974359,No,P30
42,Is [W] a part of the continent [X]? I would need to double check but maybe [Y],0.44461538461538463,No,P30
43,Is [W] a part of the continent of [X]? I would need to double check but maybe [Y],0.418974358974359,No,P30
44,Is [W] located in [X]? I would need to double check but maybe [Y],0.4764102564102564,No,P30
45,Is [W] located in continent [X]? I would need to double check but maybe [Y],0.48102564102564105,No,P30
46,Is [W] located in the [X] continent? I would need to double check but maybe [Y],0.442051282051282,No,P30
47,Is [W] located in the continent [X]? I would need to double check but maybe [Y],0.4723076923076923,No,P30
48,Is [W] part of the [X] continent? I would need to double check but maybe [Y],0.4287179487179487,No,P30
49,Is [X] [W]'s continent? I would need to double check but maybe [Y],0.49538461538461537,No,P30
50,Is [X] the continent of [W]? I would need to double check but maybe [Y],0.48256410256410254,No,P30
51,Did [W] have the [X] position? I would need to double check but maybe [Y],0.47533632286995514,No,P39
52,Did [W] have the [X] role? I would need to double check but maybe [Y],0.46356502242152464,No,P39
53,Did [W] have the official [X] position? I would need to double check but maybe [Y],0.4820627802690583,No,P39
54,Did [W] have the official [X] role? I would need to double check but maybe [Y],0.476457399103139,No,P39
55,Did [W] have the official position of [X]? I would need to double check but maybe [Y],0.4579596412556054,No,P39
56,Did [W] have the official role of [X]? I would need to double check but maybe [Y],0.40639013452914796,No,P39
57,Did [W] have the position of [X]? I would need to double check but maybe [Y],0.4467488789237668,No,P39
58,Did [W] have the public [X] position? I would need to double check but maybe [Y],0.4562780269058296,No,P39
59,Did [W] have the public [X] role? I would need to double check but maybe [Y],0.4344170403587444,No,P39
60,Did [W] have the public position of [X]? I would need to double check but maybe [Y],0.37051569506726456,No,P39
61,Did [W] have the public role of [X]? I would need to double check but maybe [Y],0.31670403587443946,No,P39
62,Did [W] have the role of [X]? I would need to double check but maybe [Y],0.3783632286995516,No,P39
63,Did [W] hold the [X] position? I would need to double check but maybe [Y],0.4433856502242152,No,P39
64,Did [W] hold the [X] role? I would need to double check but maybe [Y],0.40975336322869954,No,P39
65,Did [W] hold the official [X] position? I would need to double check but maybe [Y],0.4680493273542601,No,P39
66,Did [W] hold the official [X] role? I would need to double check but maybe [Y],0.4585201793721973,No,P39
67,Did [W] hold the official position of [X]? I would need to double check but maybe [Y],0.42432735426008966,No,P39
68,Did [W] hold the official role of [X]? I would need to double check but maybe [Y],0.38172645739910316,No,P39
69,Did [W] hold the position of [X]? I would need to double check but maybe [Y],0.38228699551569506,No,P39
70,Did [W] hold the public [X] position? I would need to double check but maybe [Y],0.4075112107623318,No,P39
71,Did [W] hold the public [X] role? I would need to double check but maybe [Y],0.3778026905829596,No,P39
72,Did [W] hold the public position of [X]? I would need to double check but maybe [Y],0.327914798206278,No,P39
73,Did [W] hold the public role of [X]? I would need to double check but maybe [Y],0.27858744394618834,No,P39
74,Did [W] hold the role of [X]? I would need to double check but maybe [Y],0.33239910313901344,No,P39
75,Did [W] officially hold the [X] position? I would need to double check but maybe [Y],0.46580717488789236,No,P39
