,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? [Y],0.49948822927328557,No,P103
1,Does [W] speak [X] as a native language? [Y],0.5,No,P103
2,Is [X] [W]'s mother tongue? [Y],0.5,No,P103
3,Is [X] [W]'s native language? [Y],0.4969293756397134,No,P103
4,Does [W] work for [X]? [Y],0.49869451697127937,No,P108
5,Is [W] employed by [X]? [Y],0.49738903394255873,No,P108
6,Did [W] originate from [X]? [Y],0.5,No,P19
7,Does [W] originate from [X]? [Y],0.5,No,P19
8,Is [W] a [X]-born person? [Y],0.4989406779661017,No,P19
9,Is [W] an [X]-born person? [Y],0.5,No,P19
10,Is [W] native to [X]? [Y],0.4994703389830508,No,P19
11,Is [W] originally from [X]? [Y],0.5,No,P19
12,Is [X] [W]'s birthplace? [Y],0.5,No,P19
13,Is [X] [W]'s place of birth? [Y],0.5,No,P19
14,Was [W] a [X]-born person? [Y],0.4978813559322034,No,P19
15,Was [W] an [X]-born person? [Y],0.4973516949152542,No,P19
16,Was [W] born in [X]? [Y],0.5,No,P19
17,Was [W] native to [X]? [Y],0.5,No,P19
18,Was [W] originally from [X]? [Y],0.5,No,P19
19,Was [X] [W]'s birthplace? [Y],0.5,No,P19
20,Was [X] [W]'s place of birth? [Y],0.5,No,P19
21,Did [W] die at [X]? [Y],0.5,No,P20
22,Did [W] die in [X]? [Y],0.5,No,P20
23,Did [W] expire at [X]? [Y],0.5,No,P20
24,Did [W] expire in [X]? [Y],0.5,No,P20
25,Did [W] lose their life at [X]? [Y],0.5,No,P20
26,Did [W] lose their life in [X]? [Y],0.5,No,P20
27,Did [W] pass away at [X]? [Y],0.5,No,P20
28,Did [W] pass away in [X]? [Y],0.5,No,P20
29,Did [W] succumb at [X]? [Y],0.4994753410283316,No,P20
30,Did [W] succumb in [X]? [Y],0.5,No,P20
31,Did [W]'s life end at [X]? [Y],0.5,No,P20
32,Did [W]'s life end in [X]? [Y],0.5,No,P20
33,Is [X] [W]'s death location? [Y],0.5,No,P20
34,Is [X] [W]'s death place? [Y],0.5,No,P20
35,Is [X] [W]'s place of death? [Y],0.5,No,P20
36,Was [X] [W]'s death location? [Y],0.5,No,P20
37,Was [X] [W]'s death place? [Y],0.5,No,P20
38,Was [X] [W]'s place of death? [Y],0.5,No,P20
39,Does [W] belong to continent [X]? [Y],0.5,No,P30
40,Does [W] belong to the continent of [X]? [Y],0.5,No,P30
41,Is [W] a part of continent [X]? [Y],0.5,No,P30
42,Is [W] a part of the continent [X]? [Y],0.5,No,P30
