,question,acc,target,fact
0,Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [P103_FA] speak [P103_FB] as a mother tongue? No. Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [W] speak [X] as a mother tongue? obviously [Y],0.00255885363357216,No,P103
1,Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [P103_FA] speak [P103_FB] as a native language? No. Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [W] speak [X] as a native language? obviously [Y],0.0035823950870010235,No,P103
2,Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [P103_FB] [P103_FA]'s mother tongue? No. Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [X] [W]'s mother tongue? obviously [Y],0.0020470829068577278,No,P103
3,Is [P103_TB] [P103_TA]'s native language? Yes. Is [P103_FB] [P103_FA]'s native language? No. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? obviously [Y],0.0005117707267144319,No,P103
4,Does [P108_TA] work for [P108_TB]? Yes. Does [P108_FA] work for [P108_FB]? No. Does [P108_TA] work for [P108_TB]? Yes. Does [W] work for [X]? obviously [Y],0.1370757180156658,No,P108
5,Is [P108_TA] employed by [P108_TB]? Yes. Is [P108_FA] employed by [P108_FB]? No. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? obviously [Y],0.031331592689295036,No,P108
6,Did [P19_TA] originate from [P19_TB]? Yes. Did [P19_FA] originate from [P19_FB]? No. Did [P19_TA] originate from [P19_TB]? Yes. Did [W] originate from [X]? obviously [Y],0.00847457627118644,No,P19
7,Does [P19_TA] originate from [P19_TB]? Yes. Does [P19_FA] originate from [P19_FB]? No. Does [P19_TA] originate from [P19_TB]? Yes. Does [W] originate from [X]? obviously [Y],0.003707627118644068,No,P19
8,Is [P19_TA] a [P19_TB]-born person? Yes. Is [P19_FA] a [P19_FB]-born person? No. Is [P19_TA] a [P19_TB]-born person? Yes. Is [W] a [X]-born person? obviously [Y],0.09957627118644068,No,P19
9,Is [P19_TA] an [P19_TB]-born person? Yes. Is [P19_FA] an [P19_FB]-born person? No. Is [P19_TA] an [P19_TB]-born person? Yes. Is [W] an [X]-born person? obviously [Y],0.1419491525423729,No,P19
10,Is [P19_TA] native to [P19_TB]? Yes. Is [P19_FA] native to [P19_FB]? No. Is [P19_TA] native to [P19_TB]? Yes. Is [W] native to [X]? obviously [Y],0.048728813559322036,No,P19
11,Is [P19_TA] originally from [P19_TB]? Yes. Is [P19_FA] originally from [P19_FB]? No. Is [P19_TA] originally from [P19_TB]? Yes. Is [W] originally from [X]? obviously [Y],0.025953389830508475,No,P19
12,Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [P19_FB] [P19_FA]'s birthplace? No. Is [P19_TB] [P19_TA]'s birthplace? Yes. Is [X] [W]'s birthplace? obviously [Y],0.20127118644067796,No,P19
13,Is [P19_TB] [P19_TA]'s place of birth? Yes. Is [P19_FB] [P19_FA]'s place of birth? No. Is [P19_TB] [P19_TA]'s place of birth? Yes. Is [X] [W]'s place of birth? obviously [Y],0.07521186440677965,No,P19
14,Was [P19_TA] a [P19_TB]-born person? Yes. Was [P19_FA] a [P19_FB]-born person? No. Was [P19_TA] a [P19_TB]-born person? Yes. Was [W] a [X]-born person? obviously [Y],0.18379237288135594,No,P19
15,Was [P19_TA] an [P19_TB]-born person? Yes. Was [P19_FA] an [P19_FB]-born person? No. Was [P19_TA] an [P19_TB]-born person? Yes. Was [W] an [X]-born person? obviously [Y],0.2378177966101695,No,P19
16,Was [P19_TA] born in [P19_TB]? Yes. Was [P19_FA] born in [P19_FB]? No. Was [P19_TA] born in [P19_TB]? Yes. Was [W] born in [X]? obviously [Y],0.055614406779661014,No,P19
17,Was [P19_TA] native to [P19_TB]? Yes. Was [P19_FA] native to [P19_FB]? No. Was [P19_TA] native to [P19_TB]? Yes. Was [W] native to [X]? obviously [Y],0.06091101694915254,No,P19
18,Was [P19_TA] originally from [P19_TB]? Yes. Was [P19_FA] originally from [P19_FB]? No. Was [P19_TA] originally from [P19_TB]? Yes. Was [W] originally from [X]? obviously [Y],0.0958686440677966,No,P19
19,Was [P19_TB] [P19_TA]'s birthplace? Yes. Was [P19_FB] [P19_FA]'s birthplace? No. Was [P19_TB] [P19_TA]'s birthplace? Yes. Was [X] [W]'s birthplace? obviously [Y],0.305614406779661,No,P19
20,Was [P19_TB] [P19_TA]'s place of birth? Yes. Was [P19_FB] [P19_FA]'s place of birth? No. Was [P19_TB] [P19_TA]'s place of birth? Yes. Was [X] [W]'s place of birth? obviously [Y],0.15783898305084745,No,P19
21,Did [P20_TA] die at [P20_TB]? Yes. Did [P20_FA] die at [P20_FB]? No. Did [P20_TA] die at [P20_TB]? Yes. Did [W] die at [X]? obviously [Y],0.00472193074501574,No,P20
