,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? Answer is: [Y],0.49897645854657113,no,P103
1,Does [W] speak [X] as a native language? Answer is: [Y],0.49795291709314227,no,P103
2,Is [X] [W]'s mother tongue? Answer is: [Y],0.4646878198567042,no,P103
3,Is [X] [W]'s native language? Answer is: [Y],0.4984646878198567,no,P103
4,Does [W] work for [X]? Answer is: [Y],0.49869451697127937,no,P108
5,Is [W] employed by [X]? Answer is: [Y],0.5,no,P108
6,Did [W] originate from [X]? Answer is: [Y],0.3352754237288136,no,P19
7,Does [W] originate from [X]? Answer is: [Y],0.2828389830508475,no,P19
8,Is [W] a [X]-born person? Answer is: [Y],0.4544491525423729,no,P19
9,Is [W] an [X]-born person? Answer is: [Y],0.4698093220338983,no,P19
10,Is [W] native to [X]? Answer is: [Y],0.4030720338983051,no,P19
11,Is [W] originally from [X]? Answer is: [Y],0.019597457627118644,no,P19
12,Is [X] [W]'s birthplace? Answer is: [Y],0.3474576271186441,no,P19
13,Is [X] [W]'s place of birth? Answer is: [Y],0.3236228813559322,no,P19
14,Was [W] a [X]-born person? Answer is: [Y],0.4729872881355932,no,P19
15,Was [W] an [X]-born person? Answer is: [Y],0.4798728813559322,no,P19
16,Was [W] born in [X]? Answer is: [Y],0.4337923728813559,no,P19
17,Was [W] native to [X]? Answer is: [Y],0.3442796610169492,no,P19
18,Was [W] originally from [X]? Answer is: [Y],0.09798728813559322,no,P19
19,Was [X] [W]'s birthplace? Answer is: [Y],0.3177966101694915,no,P19
20,Was [X] [W]'s place of birth? Answer is: [Y],0.2658898305084746,no,P19
21,Did [W] die at [X]? Answer is: [Y],0.4826862539349423,no,P20
22,Did [W] die in [X]? Answer is: [Y],0.4758656873032529,no,P20
23,Did [W] expire at [X]? Answer is: [Y],0.49422875131164745,no,P20
24,Did [W] expire in [X]? Answer is: [Y],0.48111227701993703,no,P20
25,Did [W] lose their life at [X]? Answer is: [Y],0.5,no,P20
26,Did [W] lose their life in [X]? Answer is: [Y],0.49842602308499473,no,P20
27,Did [W] pass away at [X]? Answer is: [Y],0.4758656873032529,no,P20
28,Did [W] pass away in [X]? Answer is: [Y],0.45487932843651624,no,P20
29,Did [W] succumb at [X]? Answer is: [Y],0.49842602308499473,no,P20
30,Did [W] succumb in [X]? Answer is: [Y],0.49895068205666315,no,P20
