,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 100% sure the answer is: [Y],0.28454452405322417,no,P103
1,Does [W] speak [X] as a native language? I am 100% sure the answer is: [Y],0.3587512794268168,no,P103
2,Is [X] [W]'s mother tongue? I am 100% sure the answer is: [Y],0.01023541453428864,no,P103
3,Is [X] [W]'s native language? I am 100% sure the answer is: [Y],0.11821903787103377,no,P103
4,Does [W] work for [X]? I am 100% sure the answer is: [Y],0.17493472584856398,no,P108
5,Is [W] employed by [X]? I am 100% sure the answer is: [Y],0.402088772845953,no,P108
6,Did [W] originate from [X]? I am 100% sure the answer is: [Y],0.006885593220338983,no,P19
7,Does [W] originate from [X]? I am 100% sure the answer is: [Y],0.006355932203389831,no,P19
8,Is [W] a [X]-born person? I am 100% sure the answer is: [Y],0.22139830508474576,no,P19
9,Is [W] an [X]-born person? I am 100% sure the answer is: [Y],0.22351694915254236,no,P19
10,Is [W] native to [X]? I am 100% sure the answer is: [Y],0.014300847457627119,no,P19
11,Is [W] originally from [X]? I am 100% sure the answer is: [Y],0.0015889830508474577,no,P19
12,Is [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.0,no,P19
13,Is [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.0015889830508474577,no,P19
14,Was [W] a [X]-born person? I am 100% sure the answer is: [Y],0.09427966101694915,no,P19
15,Was [W] an [X]-born person? I am 100% sure the answer is: [Y],0.09798728813559322,no,P19
16,Was [W] born in [X]? I am 100% sure the answer is: [Y],0.023305084745762712,no,P19
17,Was [W] native to [X]? I am 100% sure the answer is: [Y],0.003707627118644068,no,P19
18,Was [W] originally from [X]? I am 100% sure the answer is: [Y],0.00211864406779661,no,P19
19,Was [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.0005296610169491525,no,P19
20,Was [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.0005296610169491525,no,P19
21,Did [W] die at [X]? I am 100% sure the answer is: [Y],0.3179433368310598,no,P20
22,Did [W] die in [X]? I am 100% sure the answer is: [Y],0.22245540398740818,no,P20
23,Did [W] expire at [X]? I am 100% sure the answer is: [Y],0.3651626442812172,no,P20
24,Did [W] expire in [X]? I am 100% sure the answer is: [Y],0.31374606505771246,no,P20
25,Did [W] lose their life at [X]? I am 100% sure the answer is: [Y],0.43966421825813223,no,P20
26,Did [W] lose their life in [X]? I am 100% sure the answer is: [Y],0.41657922350472193,no,P20
27,Did [W] pass away at [X]? I am 100% sure the answer is: [Y],0.26862539349422876,no,P20
28,Did [W] pass away in [X]? I am 100% sure the answer is: [Y],0.2098635886673662,no,P20
29,Did [W] succumb at [X]? I am 100% sure the answer is: [Y],0.45383001049317945,no,P20
30,Did [W] succumb in [X]? I am 100% sure the answer is: [Y],0.4197271773347324,no,P20
31,Did [W]'s life end at [X]? I am 100% sure the answer is: [Y],0.4648478488982162,no,P20
32,Did [W]'s life end in [X]? I am 100% sure the answer is: [Y],0.391395592864638,no,P20
33,Is [X] [W]'s death location? I am 100% sure the answer is: [Y],0.0,no,P20
34,Is [X] [W]'s death place? I am 100% sure the answer is: [Y],0.0005246589716684155,no,P20
35,Is [X] [W]'s place of death? I am 100% sure the answer is: [Y],0.05823714585519412,no,P20
36,Was [X] [W]'s death location? I am 100% sure the answer is: [Y],0.0005246589716684155,no,P20
37,Was [X] [W]'s death place? I am 100% sure the answer is: [Y],0.0005246589716684155,no,P20
38,Was [X] [W]'s place of death? I am 100% sure the answer is: [Y],0.03672612801678909,no,P20
39,Does [W] belong to continent [X]? I am 100% sure the answer is: [Y],0.23948717948717949,no,P30
40,Does [W] belong to the continent of [X]? I am 100% sure the answer is: [Y],0.2958974358974359,no,P30
41,Is [W] a part of continent [X]? I am 100% sure the answer is: [Y],0.20051282051282052,no,P30
42,Is [W] a part of the continent [X]? I am 100% sure the answer is: [Y],0.31435897435897436,no,P30
43,Is [W] a part of the continent of [X]? I am 100% sure the answer is: [Y],0.19384615384615383,no,P30
44,Is [W] located in [X]? I am 100% sure the answer is: [Y],0.07025641025641026,no,P30
45,Is [W] located in continent [X]? I am 100% sure the answer is: [Y],0.07179487179487179,no,P30
46,Is [W] located in the [X] continent? I am 100% sure the answer is: [Y],0.04,no,P30
47,Is [W] located in the continent [X]? I am 100% sure the answer is: [Y],0.06,no,P30
48,Is [W] part of the [X] continent? I am 100% sure the answer is: [Y],0.11897435897435897,no,P30
49,Is [X] [W]'s continent? I am 100% sure the answer is: [Y],0.010256410256410256,no,P30
50,Is [X] the continent of [W]? I am 100% sure the answer is: [Y],0.027692307692307693,no,P30
51,Did [W] have the [X] position? I am 100% sure the answer is: [Y],0.34080717488789236,no,P39
52,Did [W] have the [X] role? I am 100% sure the answer is: [Y],0.2460762331838565,no,P39
53,Did [W] have the official [X] position? I am 100% sure the answer is: [Y],0.3576233183856502,no,P39
54,Did [W] have the official [X] role? I am 100% sure the answer is: [Y],0.28419282511210764,no,P39
55,Did [W] have the official position of [X]? I am 100% sure the answer is: [Y],0.3251121076233184,no,P39
56,Did [W] have the official role of [X]? I am 100% sure the answer is: [Y],0.21188340807174888,no,P39
57,Did [W] have the position of [X]? I am 100% sure the answer is: [Y],0.15526905829596413,no,P39
58,Did [W] have the public [X] position? I am 100% sure the answer is: [Y],0.4422645739910314,no,P39
59,Did [W] have the public [X] role? I am 100% sure the answer is: [Y],0.367152466367713,no,P39
60,Did [W] have the public position of [X]? I am 100% sure the answer is: [Y],0.3839686098654709,no,P39
61,Did [W] have the public role of [X]? I am 100% sure the answer is: [Y],0.27522421524663676,no,P39
62,Did [W] have the role of [X]? I am 100% sure the answer is: [Y],0.148542600896861,no,P39
63,Did [W] hold the [X] position? I am 100% sure the answer is: [Y],0.3895739910313901,no,P39
64,Did [W] hold the [X] role? I am 100% sure the answer is: [Y],0.3688340807174888,no,P39
65,Did [W] hold the official [X] position? I am 100% sure the answer is: [Y],0.41816143497757846,no,P39
66,Did [W] hold the official [X] role? I am 100% sure the answer is: [Y],0.38172645739910316,no,P39
67,Did [W] hold the official position of [X]? I am 100% sure the answer is: [Y],0.32062780269058294,no,P39
68,Did [W] hold the official role of [X]? I am 100% sure the answer is: [Y],0.33239910313901344,no,P39
69,Did [W] hold the position of [X]? I am 100% sure the answer is: [Y],0.2769058295964126,no,P39
70,Did [W] hold the public [X] position? I am 100% sure the answer is: [Y],0.4585201793721973,no,P39
71,Did [W] hold the public [X] role? I am 100% sure the answer is: [Y],0.44786995515695066,no,P39
72,Did [W] hold the public position of [X]? I am 100% sure the answer is: [Y],0.42432735426008966,no,P39
73,Did [W] hold the public role of [X]? I am 100% sure the answer is: [Y],0.41199551569506726,no,P39
74,Did [W] hold the role of [X]? I am 100% sure the answer is: [Y],0.242152466367713,no,P39
75,Did [W] officially hold the [X] position? I am 100% sure the answer is: [Y],0.3475336322869955,no,P39
76,Did [W] officially hold the [X] role? I am 100% sure the answer is: [Y],0.29260089686098656,no,P39
77,Did [W] officially hold the position of [X]? I am 100% sure the answer is: [Y],0.17376681614349776,no,P39
78,Did [W] officially hold the public [X] position? I am 100% sure the answer is: [Y],0.39349775784753366,no,P39
79,Did [W] officially hold the public [X] role? I am 100% sure the answer is: [Y],0.3626681614349776,no,P39
