,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? RESPUESTA: [Y],0.12487205731832139,no,P103
1,Does [W] speak [X] as a native language? RESPUESTA: [Y],0.07778915046059365,no,P103
2,Is [X] [W]'s mother tongue? RESPUESTA: [Y],0.24667349027635618,no,P103
3,Is [X] [W]'s native language? RESPUESTA: [Y],0.27072671443193447,no,P103
4,Does [W] work for [X]? RESPUESTA: [Y],0.028720626631853787,no,P108
5,Is [W] employed by [X]? RESPUESTA: [Y],0.1475195822454308,no,P108
6,Did [W] originate from [X]? RESPUESTA: [Y],0.1784957627118644,no,P19
7,Does [W] originate from [X]? RESPUESTA: [Y],0.045550847457627115,no,P19
8,Is [W] a [X]-born person? RESPUESTA: [Y],0.09904661016949153,no,P19
9,Is [W] an [X]-born person? RESPUESTA: [Y],0.1260593220338983,no,P19
10,Is [W] native to [X]? RESPUESTA: [Y],0.17372881355932204,no,P19
11,Is [W] originally from [X]? RESPUESTA: [Y],0.00211864406779661,no,P19
12,Is [X] [W]'s birthplace? RESPUESTA: [Y],0.2960805084745763,no,P19
13,Is [X] [W]'s place of birth? RESPUESTA: [Y],0.2515889830508475,no,P19
14,Was [W] a [X]-born person? RESPUESTA: [Y],0.3072033898305085,no,P19
15,Was [W] an [X]-born person? RESPUESTA: [Y],0.3098516949152542,no,P19
16,Was [W] born in [X]? RESPUESTA: [Y],0.2891949152542373,no,P19
17,Was [W] native to [X]? RESPUESTA: [Y],0.2542372881355932,no,P19
18,Was [W] originally from [X]? RESPUESTA: [Y],0.005826271186440678,no,P19
19,Was [X] [W]'s birthplace? RESPUESTA: [Y],0.4014830508474576,no,P19
20,Was [X] [W]'s place of birth? RESPUESTA: [Y],0.3850635593220339,no,P19
21,Did [W] die at [X]? RESPUESTA: [Y],0.49527806925498424,no,P20
22,Did [W] die in [X]? RESPUESTA: [Y],0.49422875131164745,no,P20
23,Did [W] expire at [X]? RESPUESTA: [Y],0.4837355718782791,no,P20
24,Did [W] expire in [X]? RESPUESTA: [Y],0.48478488982161594,no,P20
25,Did [W] lose their life at [X]? RESPUESTA: [Y],0.46432318992654775,no,P20
26,Did [W] lose their life in [X]? RESPUESTA: [Y],0.48163693599160545,no,P20
27,Did [W] pass away at [X]? RESPUESTA: [Y],0.48478488982161594,no,P20
28,Did [W] pass away in [X]? RESPUESTA: [Y],0.4947534102833158,no,P20
29,Did [W] succumb at [X]? RESPUESTA: [Y],0.49895068205666315,no,P20
30,Did [W] succumb in [X]? RESPUESTA: [Y],0.49790136411332636,no,P20
31,Did [W]'s life end at [X]? RESPUESTA: [Y],0.49737670514165794,no,P20
32,Did [W]'s life end in [X]? RESPUESTA: [Y],0.49580272822665267,no,P20
33,Is [X] [W]'s death location? RESPUESTA: [Y],0.4428121720881427,no,P20
34,Is [X] [W]'s death place? RESPUESTA: [Y],0.4391395592864638,no,P20
35,Is [X] [W]'s place of death? RESPUESTA: [Y],0.45383001049317945,no,P20
36,Was [X] [W]'s death location? RESPUESTA: [Y],0.487408184679958,no,P20
37,Was [X] [W]'s death place? RESPUESTA: [Y],0.4769150052465897,no,P20
38,Was [X] [W]'s place of death? RESPUESTA: [Y],0.4931794333683106,no,P20
39,Does [W] belong to continent [X]? RESPUESTA: [Y],0.18871794871794872,no,P30
40,Does [W] belong to the continent of [X]? RESPUESTA: [Y],0.07025641025641026,no,P30
41,Is [W] a part of continent [X]? RESPUESTA: [Y],0.12358974358974359,no,P30
42,Is [W] a part of the continent [X]? RESPUESTA: [Y],0.09897435897435898,no,P30
43,Is [W] a part of the continent of [X]? RESPUESTA: [Y],0.054871794871794874,no,P30
44,Is [W] located in [X]? RESPUESTA: [Y],0.11076923076923077,no,P30
45,Is [W] located in continent [X]? RESPUESTA: [Y],0.20666666666666667,no,P30
46,Is [W] located in the [X] continent? RESPUESTA: [Y],0.1358974358974359,no,P30
47,Is [W] located in the continent [X]? RESPUESTA: [Y],0.15282051282051282,no,P30
48,Is [W] part of the [X] continent? RESPUESTA: [Y],0.14461538461538462,no,P30
49,Is [X] [W]'s continent? RESPUESTA: [Y],0.3841025641025641,no,P30
50,Is [X] the continent of [W]? RESPUESTA: [Y],0.3076923076923077,no,P30
51,Did [W] have the [X] position? RESPUESTA: [Y],0.23710762331838564,no,P39
52,Did [W] have the [X] role? RESPUESTA: [Y],0.1804932735426009,no,P39
53,Did [W] have the official [X] position? RESPUESTA: [Y],0.22365470852017938,no,P39
54,Did [W] have the official [X] role? RESPUESTA: [Y],0.19899103139013452,no,P39
55,Did [W] have the official position of [X]? RESPUESTA: [Y],0.29316143497757846,no,P39
56,Did [W] have the official role of [X]? RESPUESTA: [Y],0.28643497757847536,no,P39
57,Did [W] have the position of [X]? RESPUESTA: [Y],0.26961883408071746,no,P39
58,Did [W] have the public [X] position? RESPUESTA: [Y],0.2561659192825112,no,P39
59,Did [W] have the public [X] role? RESPUESTA: [Y],0.23486547085201795,no,P39
60,Did [W] have the public position of [X]? RESPUESTA: [Y],0.3598654708520179,no,P39
61,Did [W] have the public role of [X]? RESPUESTA: [Y],0.3368834080717489,no,P39
62,Did [W] have the role of [X]? RESPUESTA: [Y],0.2528026905829596,no,P39
63,Did [W] hold the [X] position? RESPUESTA: [Y],0.3251121076233184,no,P39
64,Did [W] hold the [X] role? RESPUESTA: [Y],0.3245515695067265,no,P39
65,Did [W] hold the official [X] position? RESPUESTA: [Y],0.35033632286995514,no,P39
66,Did [W] hold the official [X] role? RESPUESTA: [Y],0.3755605381165919,no,P39
67,Did [W] hold the official position of [X]? RESPUESTA: [Y],0.3778026905829596,no,P39
68,Did [W] hold the official role of [X]? RESPUESTA: [Y],0.4204035874439462,no,P39
69,Did [W] hold the position of [X]? RESPUESTA: [Y],0.3531390134529148,no,P39
70,Did [W] hold the public [X] position? RESPUESTA: [Y],0.36210762331838564,no,P39
71,Did [W] hold the public [X] role? RESPUESTA: [Y],0.3929372197309417,no,P39
72,Did [W] hold the public position of [X]? RESPUESTA: [Y],0.422085201793722,no,P39
73,Did [W] hold the public role of [X]? RESPUESTA: [Y],0.45739910313901344,no,P39
74,Did [W] hold the role of [X]? RESPUESTA: [Y],0.3789237668161435,no,P39
75,Did [W] officially hold the [X] position? RESPUESTA: [Y],0.27298206278026904,no,P39
76,Did [W] officially hold the [X] role? RESPUESTA: [Y],0.2830717488789238,no,P39
77,Did [W] officially hold the position of [X]? RESPUESTA: [Y],0.3189461883408072,no,P39
78,Did [W] officially hold the public [X] position? RESPUESTA: [Y],0.3060538116591928,no,P39
79,Did [W] officially hold the public [X] role? RESPUESTA: [Y],0.34697309417040356,no,P39
80,Did [W] officially hold the public position of [X]? RESPUESTA: [Y],0.3419282511210762,no,P39
81,Did [W] officially hold the public role of [X]? RESPUESTA: [Y],0.40639013452914796,no,P39
82,Did [W] officially hold the role of [X]? RESPUESTA: [Y],0.3632286995515695,no,P39
83,Does [W] have the [X] position? RESPUESTA: [Y],0.08968609865470852,no,P39
84,Does [W] have the [X] role? RESPUESTA: [Y],0.03699551569506727,no,P39
85,Does [W] have the official [X] position? RESPUESTA: [Y],0.07847533632286996,no,P39
