,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? answer: [Y],0.38024564994882293,no,P103
1,Does [W] speak [X] as a native language? answer: [Y],0.3828045035823951,no,P103
2,Is [X] [W]'s mother tongue? answer: [Y],0.20419651995905835,no,P103
3,Is [X] [W]'s native language? answer: [Y],0.30348004094165815,no,P103
4,Does [W] work for [X]? answer: [Y],0.35509138381201044,no,P108
5,Is [W] employed by [X]? answer: [Y],0.4856396866840731,no,P108
6,Did [W] originate from [X]? answer: [Y],0.18802966101694915,no,P19
7,Does [W] originate from [X]? answer: [Y],0.1604872881355932,no,P19
8,Is [W] a [X]-born person? answer: [Y],0.1451271186440678,no,P19
9,Is [W] an [X]-born person? answer: [Y],0.15783898305084745,no,P19
10,Is [W] native to [X]? answer: [Y],0.07944915254237288,no,P19
11,Is [W] originally from [X]? answer: [Y],0.0015889830508474577,no,P19
12,Is [X] [W]'s birthplace? answer: [Y],0.009004237288135594,no,P19
13,Is [X] [W]'s place of birth? answer: [Y],0.02489406779661017,no,P19
14,Was [W] a [X]-born person? answer: [Y],0.10963983050847458,no,P19
15,Was [W] an [X]-born person? answer: [Y],0.15466101694915255,no,P19
16,Was [W] born in [X]? answer: [Y],0.09798728813559322,no,P19
17,Was [W] native to [X]? answer: [Y],0.06091101694915254,no,P19
18,Was [W] originally from [X]? answer: [Y],0.007415254237288136,no,P19
19,Was [X] [W]'s birthplace? answer: [Y],0.006355932203389831,no,P19
20,Was [X] [W]'s place of birth? answer: [Y],0.11440677966101695,no,P19
21,Did [W] die at [X]? answer: [Y],0.45383001049317945,no,P20
22,Did [W] die in [X]? answer: [Y],0.4370409233997901,no,P20
23,Did [W] expire at [X]? answer: [Y],0.46432318992654775,no,P20
24,Did [W] expire in [X]? answer: [Y],0.4454354669464848,no,P20
25,Did [W] lose their life at [X]? answer: [Y],0.4963273871983211,no,P20
26,Did [W] lose their life in [X]? answer: [Y],0.49737670514165794,no,P20
27,Did [W] pass away at [X]? answer: [Y],0.3777544596012592,no,P20
28,Did [W] pass away in [X]? answer: [Y],0.3242392444910808,no,P20
29,Did [W] succumb at [X]? answer: [Y],0.48845750262329485,no,P20
30,Did [W] succumb in [X]? answer: [Y],0.4832109129066107,no,P20
31,Did [W]'s life end at [X]? answer: [Y],0.4669464847848898,no,P20
32,Did [W]'s life end in [X]? answer: [Y],0.4653725078698846,no,P20
33,Is [X] [W]'s death location? answer: [Y],0.06820566631689402,no,P20
34,Is [X] [W]'s death place? answer: [Y],0.16631689401888772,no,P20
35,Is [X] [W]'s place of death? answer: [Y],0.45383001049317945,no,P20
36,Was [X] [W]'s death location? answer: [Y],0.1259181532004197,no,P20
37,Was [X] [W]'s death place? answer: [Y],0.15739769150052466,no,P20
38,Was [X] [W]'s place of death? answer: [Y],0.4931794333683106,no,P20
39,Does [W] belong to continent [X]? answer: [Y],0.3635897435897436,no,P30
40,Does [W] belong to the continent of [X]? answer: [Y],0.31384615384615383,no,P30
41,Is [W] a part of continent [X]? answer: [Y],0.13333333333333333,no,P30
42,Is [W] a part of the continent [X]? answer: [Y],0.12564102564102564,no,P30
43,Is [W] a part of the continent of [X]? answer: [Y],0.07384615384615385,no,P30
44,Is [W] located in [X]? answer: [Y],0.10564102564102563,no,P30
45,Is [W] located in continent [X]? answer: [Y],0.04666666666666667,no,P30
46,Is [W] located in the [X] continent? answer: [Y],0.02666666666666667,no,P30
47,Is [W] located in the continent [X]? answer: [Y],0.018974358974358976,no,P30
48,Is [W] part of the [X] continent? answer: [Y],0.09282051282051282,no,P30
