,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? As far as I know [Y],0.09877175025588536,Yes,P103
1,Does [W] speak [X] as a native language? As far as I know [Y],0.040429887410440124,Yes,P103
2,Is [X] [W]'s mother tongue? As far as I know [Y],0.05015353121801433,Yes,P103
3,Is [X] [W]'s native language? As far as I know [Y],0.02968270214943705,Yes,P103
4,Does [W] work for [X]? As far as I know [Y],0.044386422976501305,Yes,P108
5,Is [W] employed by [X]? As far as I know [Y],0.020887728459530026,Yes,P108
6,Did [W] originate from [X]? As far as I know [Y],0.009004237288135594,Yes,P19
7,Does [W] originate from [X]? As far as I know [Y],0.015360169491525424,Yes,P19
8,Is [W] a [X]-born person? As far as I know [Y],0.038135593220338986,Yes,P19
9,Is [W] an [X]-born person? As far as I know [Y],0.028072033898305086,Yes,P19
10,Is [W] native to [X]? As far as I know [Y],0.05349576271186441,Yes,P19
11,Is [W] originally from [X]? As far as I know [Y],0.015360169491525424,Yes,P19
12,Is [X] [W]'s birthplace? As far as I know [Y],0.01694915254237288,Yes,P19
13,Is [X] [W]'s place of birth? As far as I know [Y],0.021716101694915255,Yes,P19
14,Was [W] a [X]-born person? As far as I know [Y],0.04925847457627119,Yes,P19
15,Was [W] an [X]-born person? As far as I know [Y],0.03548728813559322,Yes,P19
16,Was [W] born in [X]? As far as I know [Y],0.03972457627118644,Yes,P19
17,Was [W] native to [X]? As far as I know [Y],0.057203389830508475,Yes,P19
18,Was [W] originally from [X]? As far as I know [Y],0.00847457627118644,Yes,P19
19,Was [X] [W]'s birthplace? As far as I know [Y],0.013241525423728813,Yes,P19
20,Was [X] [W]'s place of birth? As far as I know [Y],0.022245762711864406,Yes,P19
21,Did [W] die at [X]? As far as I know [Y],0.013641133263378805,Yes,P20
22,Did [W] die in [X]? As far as I know [Y],0.014690451206715634,Yes,P20
23,Did [W] expire at [X]? As far as I know [Y],0.008919202518363064,Yes,P20
24,Did [W] expire in [X]? As far as I know [Y],0.006820566631689402,Yes,P20
25,Did [W] lose their life at [X]? As far as I know [Y],0.00472193074501574,Yes,P20
26,Did [W] lose their life in [X]? As far as I know [Y],0.0031479538300104933,Yes,P20
27,Did [W] pass away at [X]? As far as I know [Y],0.005246589716684155,Yes,P20
28,Did [W] pass away in [X]? As far as I know [Y],0.00472193074501574,Yes,P20
29,Did [W] succumb at [X]? As far as I know [Y],0.008394543546694649,Yes,P20
30,Did [W] succumb in [X]? As far as I know [Y],0.0062959076600209865,Yes,P20
31,Did [W]'s life end at [X]? As far as I know [Y],0.00472193074501574,Yes,P20
32,Did [W]'s life end in [X]? As far as I know [Y],0.0031479538300104933,Yes,P20
33,Is [X] [W]'s death location? As far as I know [Y],0.0005246589716684155,Yes,P20
34,Is [X] [W]'s death place? As far as I know [Y],0.002098635886673662,Yes,P20
35,Is [X] [W]'s place of death? As far as I know [Y],0.0031479538300104933,Yes,P20
36,Was [X] [W]'s death location? As far as I know [Y],0.0005246589716684155,Yes,P20
37,Was [X] [W]'s death place? As far as I know [Y],0.001049317943336831,Yes,P20
38,Was [X] [W]'s place of death? As far as I know [Y],0.0026232948583420775,Yes,P20
39,Does [W] belong to continent [X]? As far as I know [Y],0.0035897435897435897,Yes,P30
40,Does [W] belong to the continent of [X]? As far as I know [Y],0.010256410256410256,Yes,P30
41,Is [W] a part of continent [X]? As far as I know [Y],0.0015384615384615385,Yes,P30
42,Is [W] a part of the continent [X]? As far as I know [Y],0.0015384615384615385,Yes,P30
43,Is [W] a part of the continent of [X]? As far as I know [Y],0.003076923076923077,Yes,P30
44,Is [W] located in [X]? As far as I know [Y],0.0015384615384615385,Yes,P30
45,Is [W] located in continent [X]? As far as I know [Y],0.0015384615384615385,Yes,P30
46,Is [W] located in the [X] continent? As far as I know [Y],0.002564102564102564,Yes,P30
47,Is [W] located in the continent [X]? As far as I know [Y],0.0010256410256410256,Yes,P30
48,Is [W] part of the [X] continent? As far as I know [Y],0.0015384615384615385,Yes,P30
49,Is [X] [W]'s continent? As far as I know [Y],0.0,Yes,P30
50,Is [X] the continent of [W]? As far as I know [Y],0.0010256410256410256,Yes,P30
51,Did [W] have the [X] position? As far as I know [Y],0.0011210762331838565,Yes,P39
52,Did [W] have the [X] role? As far as I know [Y],0.003923766816143498,Yes,P39
53,Did [W] have the official [X] position? As far as I know [Y],0.0011210762331838565,Yes,P39
54,Did [W] have the official [X] role? As far as I know [Y],0.002802690582959641,Yes,P39
55,Did [W] have the official position of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
56,Did [W] have the official role of [X]? As far as I know [Y],0.006726457399103139,Yes,P39
57,Did [W] have the position of [X]? As far as I know [Y],0.00616591928251121,Yes,P39
58,Did [W] have the public [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
59,Did [W] have the public [X] role? As far as I know [Y],0.004484304932735426,Yes,P39
60,Did [W] have the public position of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
61,Did [W] have the public role of [X]? As far as I know [Y],0.00952914798206278,Yes,P39
62,Did [W] have the role of [X]? As far as I know [Y],0.010650224215246636,Yes,P39
63,Did [W] hold the [X] position? As far as I know [Y],0.002802690582959641,Yes,P39
64,Did [W] hold the [X] role? As far as I know [Y],0.006726457399103139,Yes,P39
65,Did [W] hold the official [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
66,Did [W] hold the official [X] role? As far as I know [Y],0.003923766816143498,Yes,P39
67,Did [W] hold the official position of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
68,Did [W] hold the official role of [X]? As far as I know [Y],0.0072869955156950675,Yes,P39
69,Did [W] hold the position of [X]? As far as I know [Y],0.0072869955156950675,Yes,P39
70,Did [W] hold the public [X] position? As far as I know [Y],0.004484304932735426,Yes,P39
71,Did [W] hold the public [X] role? As far as I know [Y],0.005605381165919282,Yes,P39
72,Did [W] hold the public position of [X]? As far as I know [Y],0.006726457399103139,Yes,P39
73,Did [W] hold the public role of [X]? As far as I know [Y],0.007847533632286996,Yes,P39
74,Did [W] hold the role of [X]? As far as I know [Y],0.011210762331838564,Yes,P39
75,Did [W] officially hold the [X] position? As far as I know [Y],0.002802690582959641,Yes,P39
76,Did [W] officially hold the [X] role? As far as I know [Y],0.003923766816143498,Yes,P39
77,Did [W] officially hold the position of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
78,Did [W] officially hold the public [X] position? As far as I know [Y],0.002242152466367713,Yes,P39
79,Did [W] officially hold the public [X] role? As far as I know [Y],0.0033632286995515697,Yes,P39
80,Did [W] officially hold the public position of [X]? As far as I know [Y],0.00616591928251121,Yes,P39
81,Did [W] officially hold the public role of [X]? As far as I know [Y],0.006726457399103139,Yes,P39
82,Did [W] officially hold the role of [X]? As far as I know [Y],0.0072869955156950675,Yes,P39
83,Does [W] have the [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
84,Does [W] have the [X] role? As far as I know [Y],0.0016816143497757848,Yes,P39
85,Does [W] have the official [X] position? As far as I know [Y],0.0011210762331838565,Yes,P39
86,Does [W] have the official [X] role? As far as I know [Y],0.0016816143497757848,Yes,P39
87,Does [W] have the official position of [X]? As far as I know [Y],0.003923766816143498,Yes,P39
88,Does [W] have the official role of [X]? As far as I know [Y],0.004484304932735426,Yes,P39
89,Does [W] have the position of [X]? As far as I know [Y],0.002802690582959641,Yes,P39
90,Does [W] have the public [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
91,Does [W] have the public [X] role? As far as I know [Y],0.002242152466367713,Yes,P39
92,Does [W] have the public position of [X]? As far as I know [Y],0.004484304932735426,Yes,P39
93,Does [W] have the public role of [X]? As far as I know [Y],0.0033632286995515697,Yes,P39
94,Does [W] have the role of [X]? As far as I know [Y],0.004484304932735426,Yes,P39
95,Does [W] hold the [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
96,Does [W] hold the [X] role? As far as I know [Y],0.002242152466367713,Yes,P39
97,Does [W] hold the official [X] position? As far as I know [Y],0.0011210762331838565,Yes,P39
98,Does [W] hold the official [X] role? As far as I know [Y],0.0011210762331838565,Yes,P39
99,Does [W] hold the official position of [X]? As far as I know [Y],0.002242152466367713,Yes,P39
100,Does [W] hold the official role of [X]? As far as I know [Y],0.002802690582959641,Yes,P39
101,Does [W] hold the position of [X]? As far as I know [Y],0.003923766816143498,Yes,P39
102,Does [W] hold the public [X] position? As far as I know [Y],0.0016816143497757848,Yes,P39
103,Does [W] hold the public [X] role? As far as I know [Y],0.0016816143497757848,Yes,P39
104,Does [W] hold the public position of [X]? As far as I know [Y],0.0033632286995515697,Yes,P39
105,Does [W] hold the public role of [X]? As far as I know [Y],0.002802690582959641,Yes,P39
106,Does [W] hold the role of [X]? As far as I know [Y],0.005044843049327354,Yes,P39
107,Does [W] officially hold the [X] position? As far as I know [Y],0.002802690582959641,Yes,P39
108,Does [W] officially hold the [X] role? As far as I know [Y],0.002242152466367713,Yes,P39
109,Does [W] officially hold the position of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
110,Does [W] officially hold the public [X] position? As far as I know [Y],0.002802690582959641,Yes,P39
111,Does [W] officially hold the public [X] role? As far as I know [Y],0.002802690582959641,Yes,P39
112,Does [W] officially hold the public position of [X]? As far as I know [Y],0.005044843049327354,Yes,P39
113,Does [W] officially hold the public role of [X]? As far as I know [Y],0.004484304932735426,Yes,P39
114,Does [W] officially hold the role of [X]? As far as I know [Y],0.005605381165919282,Yes,P39
115,Is [W]'s official position [X]? As far as I know [Y],0.00952914798206278,Yes,P39
116,Is [W]'s official position that of [X]? As far as I know [Y],0.0033632286995515697,Yes,P39
117,Is [W]'s official role [X]? As far as I know [Y],0.008968609865470852,Yes,P39
118,Is [W]'s official role that of [X]? As far as I know [Y],0.005044843049327354,Yes,P39
119,Is [W]'s position [X]? As far as I know [Y],0.007847533632286996,Yes,P39
120,Is [W]'s position that of [X]? As far as I know [Y],0.0011210762331838565,Yes,P39
121,Is [W]'s public position [X]? As far as I know [Y],0.01289237668161435,Yes,P39
122,Is [W]'s public position that of [X]? As far as I know [Y],0.002242152466367713,Yes,P39
123,Is [W]'s public role [X]? As far as I know [Y],0.010089686098654708,Yes,P39
124,Is [W]'s public role that of [X]? As far as I know [Y],0.003923766816143498,Yes,P39
125,Is [W]'s role [X]? As far as I know [Y],0.008968609865470852,Yes,P39
126,Is [W]'s role that of [X]? As far as I know [Y],0.002802690582959641,Yes,P39
127,Was [W]'s official position [X]? As far as I know [Y],0.00952914798206278,Yes,P39
128,Was [W]'s official position that of [X]? As far as I know [Y],0.0016816143497757848,Yes,P39
129,Was [W]'s official role [X]? As far as I know [Y],0.01233183856502242,Yes,P39
130,Was [W]'s official role that of [X]? As far as I know [Y],0.004484304932735426,Yes,P39
131,Was [W]'s position [X]? As far as I know [Y],0.014013452914798207,Yes,P39
132,Was [W]'s position that of [X]? As far as I know [Y],0.0011210762331838565,Yes,P39
133,Was [W]'s public position [X]? As far as I know [Y],0.010089686098654708,Yes,P39
134,Was [W]'s public position that of [X]? As far as I know [Y],0.002802690582959641,Yes,P39
135,Was [W]'s public role [X]? As far as I know [Y],0.011210762331838564,Yes,P39
136,Was [W]'s public role that of [X]? As far as I know [Y],0.005044843049327354,Yes,P39
137,Was [W]'s role [X]? As far as I know [Y],0.014013452914798207,Yes,P39
138,Was [W]'s role that of [X]? As far as I know [Y],0.003923766816143498,Yes,P39
139,Does [W] belong to the [X] category? As far as I know [Y],0.012966804979253113,Yes,P279
140,Does [W] have class [X]? As far as I know [Y],0.0015560165975103733,Yes,P279
141,Is [W] a [X]? As far as I know [Y],0.01711618257261411,Yes,P279
142,Is [W] a kind of [X]? As far as I know [Y],0.011410788381742738,Yes,P279
143,Is [W] a subclass of [X]? As far as I know [Y],0.007780082987551867,Yes,P279
144,Is [W] a type of [X]? As far as I know [Y],0.019190871369294607,Yes,P279
145,Is [W] of class [X]? As far as I know [Y],0.0025933609958506223,Yes,P279
146,Is [X] the class of [W]? As far as I know [Y],0.005186721991701245,Yes,P279
147,Is [X] the language of [W]? As far as I know [Y],0.10864485981308411,Yes,P364
148,Is [X] the original language of [W]? As far as I know [Y],0.10338785046728972,Yes,P364
149,Was [W] originally performed in [X]? As far as I know [Y],0.09929906542056074,Yes,P364
150,Was [W] originally performed in language [X]? As far as I know [Y],0.07242990654205607,Yes,P364
151,Was [W] originally performed in the [X] language? As far as I know [Y],0.08644859813084112,Yes,P364
152,Was [W] originally performed in the following language: [X]? As far as I know [Y],0.06950934579439252,Yes,P364
153,Was [W] originally played in [X]? As far as I know [Y],0.052570093457943924,Yes,P364
154,Was [W] originally played in language [X]? As far as I know [Y],0.05081775700934579,Yes,P364
155,Was [W] originally played in the [X] language? As far as I know [Y],0.04672897196261682,Yes,P364
156,Was [W] originally played in the following language: [X]? As far as I know [Y],0.056074766355140186,Yes,P364
157,Was [X] the language of [W]? As far as I know [Y],0.07535046728971963,Yes,P364
158,Was [X] the original language of [W]? As far as I know [Y],0.08352803738317757,Yes,P364
159,Did [W] come from [X]? As far as I know [Y],0.0088008800880088,Yes,P495
160,Did [W] form in [X]? As far as I know [Y],0.019764957264957264,Yes,P740
161,Did [W] originate in [X]? As far as I know [Y],0.019230769230769232,Yes,P740
162,Does [W] come from [X]? As far as I know [Y],0.009900990099009901,Yes,P495
163,Does [W] originate in [X]? As far as I know [Y],0.03355335533553355,Yes,P495
164,Is [W] formulated in [X]? As far as I know [Y],0.011001100110011002,Yes,P495
165,Is [W] from [X]? As far as I know [Y],0.022552255225522552,Yes,P495
166,Is [X] [W]'s original country? As far as I know [Y],0.0038503850385038503,Yes,P495
167,Is [X] the original country of [W]? As far as I know [Y],0.007700770077007701,Yes,P495
168,Was [W] created in [X]? As far as I know [Y],0.013354700854700854,Yes,P740
169,Was [W] developed in [X]? As far as I know [Y],0.006600660066006601,Yes,P495
170,Was [W] first created in [X]? As far as I know [Y],0.0016501650165016502,Yes,P495
171,Was [W] first made in [X]? As far as I know [Y],0.0016501650165016502,Yes,P495
172,Was [W] first produced in [X]? As far as I know [Y],0.0027502750275027505,Yes,P495
173,Was [W] formed in [X]? As far as I know [Y],0.019764957264957264,Yes,P740
174,Was [W] formulated in [X]? As far as I know [Y],0.007700770077007701,Yes,P495
175,Was [W] from [X]? As far as I know [Y],0.014301430143014302,Yes,P495
176,Did [W] start in [X]? As far as I know [Y],0.03685897435897436,Yes,P740
177,Was [W] founded in [X]? As far as I know [Y],0.034722222222222224,Yes,P740
178,Was [W] started in [X]? As far as I know [Y],0.012286324786324786,Yes,P740
179,Did [W] find employment in [X]? As far as I know [Y],0.0020964360587002098,Yes,P937
180,Did [W] take up work in [X]? As far as I know [Y],0.003668763102725367,Yes,P937
181,Did [W] use to work in [X]? As far as I know [Y],0.0110062893081761,Yes,P937
182,Did [W] work in [X]? As far as I know [Y],0.009958071278825996,Yes,P937
183,Does [W] work in [X]? As far as I know [Y],0.0110062893081761,Yes,P937
184,Is [W] employed in [X]? As far as I know [Y],0.012054507337526206,Yes,P937
185,Is [X] [W]'s employment location? As far as I know [Y],0.007861635220125786,Yes,P937
186,Is [X] [W]'s location of employment? As far as I know [Y],0.009433962264150943,Yes,P937
187,Is [X] [W]'s work location? As far as I know [Y],0.002620545073375262,Yes,P937
188,Is [X] where [W] is employed? As far as I know [Y],0.007337526205450734,Yes,P937
189,Is [X] where [W] was employed? As far as I know [Y],0.008385744234800839,Yes,P937
190,Was [W] employed in [X]? As far as I know [Y],0.0110062893081761,Yes,P937
191,Was [X] [W]'s employment location? As far as I know [Y],0.0031446540880503146,Yes,P937
192,Was [X] [W]'s location of employment? As far as I know [Y],0.005765199161425576,Yes,P937
193,Was [X] [W]'s work location? As far as I know [Y],0.0015723270440251573,Yes,P937
