,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am sure my answer is: [Y],0.13817809621289662,Yes,P103
1,Does [W] speak [X] as a native language? I am sure my answer is: [Y],0.13920163766632548,Yes,P103
2,Is [X] [W]'s mother tongue? I am sure my answer is: [Y],0.49897645854657113,Yes,P103
3,Is [X] [W]'s native language? I am sure my answer is: [Y],0.5,Yes,P103
4,Does [W] work for [X]? I am sure my answer is: [Y],0.283289817232376,Yes,P108
5,Is [W] employed by [X]? I am sure my answer is: [Y],0.1031331592689295,Yes,P108
6,Did [W] originate from [X]? I am sure my answer is: [Y],0.4247881355932203,Yes,P19
7,Does [W] originate from [X]? I am sure my answer is: [Y],0.4147245762711864,Yes,P19
8,Is [W] a [X]-born person? I am sure my answer is: [Y],0.4078389830508475,Yes,P19
9,Is [W] an [X]-born person? I am sure my answer is: [Y],0.399364406779661,Yes,P19
10,Is [W] native to [X]? I am sure my answer is: [Y],0.4978813559322034,Yes,P19
11,Is [W] originally from [X]? I am sure my answer is: [Y],0.4994703389830508,Yes,P19
12,Is [X] [W]'s birthplace? I am sure my answer is: [Y],0.4814618644067797,Yes,P19
13,Is [X] [W]'s place of birth? I am sure my answer is: [Y],0.3702330508474576,Yes,P19
14,Was [W] a [X]-born person? I am sure my answer is: [Y],0.4724576271186441,Yes,P19
15,Was [W] an [X]-born person? I am sure my answer is: [Y],0.4645127118644068,Yes,P19
16,Was [W] born in [X]? I am sure my answer is: [Y],0.4359110169491525,Yes,P19
17,Was [W] native to [X]? I am sure my answer is: [Y],0.4984110169491525,Yes,P19
18,Was [W] originally from [X]? I am sure my answer is: [Y],0.4962923728813559,Yes,P19
19,Was [X] [W]'s birthplace? I am sure my answer is: [Y],0.4777542372881356,Yes,P19
20,Was [X] [W]'s place of birth? I am sure my answer is: [Y],0.4189618644067797,Yes,P19
21,Did [W] die at [X]? I am sure my answer is: [Y],0.03672612801678909,Yes,P20
22,Did [W] die in [X]? I am sure my answer is: [Y],0.03672612801678909,Yes,P20
23,Did [W] expire at [X]? I am sure my answer is: [Y],0.005771248688352571,Yes,P20
24,Did [W] expire in [X]? I am sure my answer is: [Y],0.008394543546694649,Yes,P20
25,Did [W] lose their life at [X]? I am sure my answer is: [Y],0.009968520461699895,Yes,P20
26,Did [W] lose their life in [X]? I am sure my answer is: [Y],0.014690451206715634,Yes,P20
27,Did [W] pass away at [X]? I am sure my answer is: [Y],0.06505771248688352,Yes,P20
28,Did [W] pass away in [X]? I am sure my answer is: [Y],0.05771248688352571,Yes,P20
29,Did [W] succumb at [X]? I am sure my answer is: [Y],0.007345225603357817,Yes,P20
30,Did [W] succumb in [X]? I am sure my answer is: [Y],0.012591815320041973,Yes,P20
31,Did [W]'s life end at [X]? I am sure my answer is: [Y],0.011017838405036727,Yes,P20
32,Did [W]'s life end in [X]? I am sure my answer is: [Y],0.013641133263378805,Yes,P20
33,Is [X] [W]'s death location? I am sure my answer is: [Y],0.26652675760755506,Yes,P20
34,Is [X] [W]'s death place? I am sure my answer is: [Y],0.14742917103882477,Yes,P20
35,Is [X] [W]'s place of death? I am sure my answer is: [Y],0.015739769150052464,Yes,P20
36,Was [X] [W]'s death location? I am sure my answer is: [Y],0.2728226652675761,Yes,P20
37,Was [X] [W]'s death place? I am sure my answer is: [Y],0.18572927597061908,Yes,P20
38,Was [X] [W]'s place of death? I am sure my answer is: [Y],0.040398740818468,Yes,P20
39,Does [W] belong to continent [X]? I am sure my answer is: [Y],0.024615384615384615,Yes,P30
40,Does [W] belong to the continent of [X]? I am sure my answer is: [Y],0.015384615384615385,Yes,P30
41,Is [W] a part of continent [X]? I am sure my answer is: [Y],0.29128205128205126,Yes,P30
42,Is [W] a part of the continent [X]? I am sure my answer is: [Y],0.23333333333333334,Yes,P30
43,Is [W] a part of the continent of [X]? I am sure my answer is: [Y],0.31435897435897436,Yes,P30
44,Is [W] located in [X]? I am sure my answer is: [Y],0.30974358974358973,Yes,P30
45,Is [W] located in continent [X]? I am sure my answer is: [Y],0.13538461538461538,Yes,P30
46,Is [W] located in the [X] continent? I am sure my answer is: [Y],0.3169230769230769,Yes,P30
47,Is [W] located in the continent [X]? I am sure my answer is: [Y],0.17076923076923076,Yes,P30
48,Is [W] part of the [X] continent? I am sure my answer is: [Y],0.43846153846153846,Yes,P30
49,Is [X] [W]'s continent? I am sure my answer is: [Y],0.13692307692307693,Yes,P30
50,Is [X] the continent of [W]? I am sure my answer is: [Y],0.2928205128205128,Yes,P30
51,Did [W] have the [X] position? I am sure my answer is: [Y],0.020739910313901346,Yes,P39
52,Did [W] have the [X] role? I am sure my answer is: [Y],0.04932735426008968,Yes,P39
53,Did [W] have the official [X] position? I am sure my answer is: [Y],0.010089686098654708,Yes,P39
54,Did [W] have the official [X] role? I am sure my answer is: [Y],0.015134529147982063,Yes,P39
55,Did [W] have the official position of [X]? I am sure my answer is: [Y],0.01289237668161435,Yes,P39
56,Did [W] have the official role of [X]? I am sure my answer is: [Y],0.05493273542600897,Yes,P39
57,Did [W] have the position of [X]? I am sure my answer is: [Y],0.030829596412556053,Yes,P39
58,Did [W] have the public [X] position? I am sure my answer is: [Y],0.026905829596412557,Yes,P39
59,Did [W] have the public [X] role? I am sure my answer is: [Y],0.07006726457399103,Yes,P39
60,Did [W] have the public position of [X]? I am sure my answer is: [Y],0.07903587443946189,Yes,P39
61,Did [W] have the public role of [X]? I am sure my answer is: [Y],0.16535874439461884,Yes,P39
62,Did [W] have the role of [X]? I am sure my answer is: [Y],0.10538116591928251,Yes,P39
63,Did [W] hold the [X] position? I am sure my answer is: [Y],0.04596412556053812,Yes,P39
