,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I would need to double check but maybe [Y],0.12947799385875128,Yes,P103
1,Does [W] speak [X] as a native language? I would need to double check but maybe [Y],0.09672466734902764,Yes,P103
2,Is [X] [W]'s mother tongue? I would need to double check but maybe [Y],0.25588536335721596,Yes,P103
3,Is [X] [W]'s native language? I would need to double check but maybe [Y],0.2001023541453429,Yes,P103
4,Does [W] work for [X]? I would need to double check but maybe [Y],0.13446475195822455,Yes,P108
5,Is [W] employed by [X]? I would need to double check but maybe [Y],0.17232375979112272,Yes,P108
6,Did [W] originate from [X]? I would need to double check but maybe [Y],0.17584745762711865,Yes,P19
7,Does [W] originate from [X]? I would need to double check but maybe [Y],0.2600635593220339,Yes,P19
8,Is [W] a [X]-born person? I would need to double check but maybe [Y],0.2044491525423729,Yes,P19
9,Is [W] an [X]-born person? I would need to double check but maybe [Y],0.1875,Yes,P19
10,Is [W] native to [X]? I would need to double check but maybe [Y],0.2733050847457627,Yes,P19
11,Is [W] originally from [X]? I would need to double check but maybe [Y],0.3177966101694915,Yes,P19
12,Is [X] [W]'s birthplace? I would need to double check but maybe [Y],0.20021186440677965,Yes,P19
13,Is [X] [W]'s place of birth? I would need to double check but maybe [Y],0.11440677966101695,Yes,P19
14,Was [W] a [X]-born person? I would need to double check but maybe [Y],0.20127118644067796,Yes,P19
15,Was [W] an [X]-born person? I would need to double check but maybe [Y],0.15677966101694915,Yes,P19
16,Was [W] born in [X]? I would need to double check but maybe [Y],0.2616525423728814,Yes,P19
17,Was [W] native to [X]? I would need to double check but maybe [Y],0.2653601694915254,Yes,P19
18,Was [W] originally from [X]? I would need to double check but maybe [Y],0.19915254237288135,Yes,P19
19,Was [X] [W]'s birthplace? I would need to double check but maybe [Y],0.1271186440677966,Yes,P19
20,Was [X] [W]'s place of birth? I would need to double check but maybe [Y],0.07521186440677965,Yes,P19
21,Did [W] die at [X]? I would need to double check but maybe [Y],0.15424973767051417,Yes,P20
22,Did [W] die in [X]? I would need to double check but maybe [Y],0.21563483735571878,Yes,P20
23,Did [W] expire at [X]? I would need to double check but maybe [Y],0.02938090241343127,Yes,P20
24,Did [W] expire in [X]? I would need to double check but maybe [Y],0.03620146904512067,Yes,P20
25,Did [W] lose their life at [X]? I would need to double check but maybe [Y],0.11280167890870933,Yes,P20
26,Did [W] lose their life in [X]? I would need to double check but maybe [Y],0.1495278069254984,Yes,P20
27,Did [W] pass away at [X]? I would need to double check but maybe [Y],0.11332633788037776,Yes,P20
28,Did [W] pass away in [X]? I would need to double check but maybe [Y],0.15005246589716684,Yes,P20
29,Did [W] succumb at [X]? I would need to double check but maybe [Y],0.11385099685204617,Yes,P20
30,Did [W] succumb in [X]? I would need to double check but maybe [Y],0.12801678908709338,Yes,P20
31,Did [W]'s life end at [X]? I would need to double check but maybe [Y],0.11070304302203568,Yes,P20
32,Did [W]'s life end in [X]? I would need to double check but maybe [Y],0.1379853095487933,Yes,P20
33,Is [X] [W]'s death location? I would need to double check but maybe [Y],0.02833158447009444,Yes,P20
34,Is [X] [W]'s death place? I would need to double check but maybe [Y],0.09286463798530954,Yes,P20
35,Is [X] [W]'s place of death? I would need to double check but maybe [Y],0.035676810073452254,Yes,P20
36,Was [X] [W]'s death location? I would need to double check but maybe [Y],0.011017838405036727,Yes,P20
37,Was [X] [W]'s death place? I would need to double check but maybe [Y],0.0472193074501574,Yes,P20
38,Was [X] [W]'s place of death? I would need to double check but maybe [Y],0.02465897166841553,Yes,P20
39,Does [W] belong to continent [X]? I would need to double check but maybe [Y],0.04666666666666667,Yes,P30
40,Does [W] belong to the continent of [X]? I would need to double check but maybe [Y],0.059487179487179485,Yes,P30
41,Is [W] a part of continent [X]? I would need to double check but maybe [Y],0.0758974358974359,Yes,P30
42,Is [W] a part of the continent [X]? I would need to double check but maybe [Y],0.04974358974358974,Yes,P30
43,Is [W] a part of the continent of [X]? I would need to double check but maybe [Y],0.06256410256410257,Yes,P30
44,Is [W] located in [X]? I would need to double check but maybe [Y],0.026153846153846153,Yes,P30
45,Is [W] located in continent [X]? I would need to double check but maybe [Y],0.025128205128205128,Yes,P30
46,Is [W] located in the [X] continent? I would need to double check but maybe [Y],0.05435897435897436,Yes,P30
47,Is [W] located in the continent [X]? I would need to double check but maybe [Y],0.02717948717948718,Yes,P30
48,Is [W] part of the [X] continent? I would need to double check but maybe [Y],0.07794871794871795,Yes,P30
49,Is [X] [W]'s continent? I would need to double check but maybe [Y],0.0056410256410256415,Yes,P30
