,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? Answer is: [Y],0.0,yes,P103
1,Does [W] speak [X] as a native language? Answer is: [Y],0.0,yes,P103
2,Is [X] [W]'s mother tongue? Answer is: [Y],0.030194472876151485,yes,P103
3,Is [X] [W]'s native language? Answer is: [Y],0.0127942681678608,yes,P103
4,Does [W] work for [X]? Answer is: [Y],0.0013054830287206266,yes,P108
5,Is [W] employed by [X]? Answer is: [Y],0.0,yes,P108
6,Did [W] originate from [X]? Answer is: [Y],0.1763771186440678,yes,P19
7,Does [W] originate from [X]? Answer is: [Y],0.2478813559322034,yes,P19
8,Is [W] a [X]-born person? Answer is: [Y],0.04025423728813559,yes,P19
9,Is [W] an [X]-born person? Answer is: [Y],0.02913135593220339,yes,P19
10,Is [W] native to [X]? Answer is: [Y],0.1016949152542373,yes,P19
11,Is [W] originally from [X]? Answer is: [Y],0.4867584745762712,yes,P19
12,Is [X] [W]'s birthplace? Answer is: [Y],0.12976694915254236,yes,P19
13,Is [X] [W]'s place of birth? Answer is: [Y],0.17796610169491525,yes,P19
14,Was [W] a [X]-born person? Answer is: [Y],0.025953389830508475,yes,P19
15,Was [W] an [X]-born person? Answer is: [Y],0.020127118644067795,yes,P19
16,Was [W] born in [X]? Answer is: [Y],0.06673728813559322,yes,P19
17,Was [W] native to [X]? Answer is: [Y],0.1329449152542373,yes,P19
18,Was [W] originally from [X]? Answer is: [Y],0.4057203389830508,yes,P19
19,Was [X] [W]'s birthplace? Answer is: [Y],0.16154661016949154,yes,P19
20,Was [X] [W]'s place of birth? Answer is: [Y],0.2457627118644068,yes,P19
21,Did [W] die at [X]? Answer is: [Y],0.01626442812172088,yes,P20
22,Did [W] die in [X]? Answer is: [Y],0.012591815320041973,yes,P20
23,Did [W] expire at [X]? Answer is: [Y],0.00944386149003148,yes,P20
24,Did [W] expire in [X]? Answer is: [Y],0.02098635886673662,yes,P20
25,Did [W] lose their life at [X]? Answer is: [Y],0.002098635886673662,yes,P20
26,Did [W] lose their life in [X]? Answer is: [Y],0.0026232948583420775,yes,P20
27,Did [W] pass away at [X]? Answer is: [Y],0.018363064008394544,yes,P20
28,Did [W] pass away in [X]? Answer is: [Y],0.04512067156348373,yes,P20
29,Did [W] succumb at [X]? Answer is: [Y],0.0005246589716684155,yes,P20
30,Did [W] succumb in [X]? Answer is: [Y],0.0015739769150052466,yes,P20
31,Did [W]'s life end at [X]? Answer is: [Y],0.0031479538300104933,yes,P20
32,Did [W]'s life end in [X]? Answer is: [Y],0.005771248688352571,yes,P20
33,Is [X] [W]'s death location? Answer is: [Y],0.3279118572927597,yes,P20
34,Is [X] [W]'s death place? Answer is: [Y],0.16474291710388247,yes,P20
35,Is [X] [W]'s place of death? Answer is: [Y],0.021511017838405037,yes,P20
36,Was [X] [W]'s death location? Answer is: [Y],0.36988457502623295,yes,P20
37,Was [X] [W]'s death place? Answer is: [Y],0.3237145855194124,yes,P20
38,Was [X] [W]'s place of death? Answer is: [Y],0.03305351521511018,yes,P20
39,Does [W] belong to continent [X]? Answer is: [Y],0.026153846153846153,yes,P30
40,Does [W] belong to the continent of [X]? Answer is: [Y],0.05076923076923077,yes,P30
41,Is [W] a part of continent [X]? Answer is: [Y],0.011794871794871795,yes,P30
42,Is [W] a part of the continent [X]? Answer is: [Y],0.007692307692307693,yes,P30
43,Is [W] a part of the continent of [X]? Answer is: [Y],0.043076923076923075,yes,P30
44,Is [W] located in [X]? Answer is: [Y],0.12,yes,P30
45,Is [W] located in continent [X]? Answer is: [Y],0.20871794871794871,yes,P30
46,Is [W] located in the [X] continent? Answer is: [Y],0.33487179487179486,yes,P30
47,Is [W] located in the continent [X]? Answer is: [Y],0.24871794871794872,yes,P30
48,Is [W] part of the [X] continent? Answer is: [Y],0.047692307692307694,yes,P30
49,Is [X] [W]'s continent? Answer is: [Y],0.04,yes,P30
50,Is [X] the continent of [W]? Answer is: [Y],0.06564102564102564,yes,P30
51,Did [W] have the [X] position? Answer is: [Y],0.0011210762331838565,yes,P39
52,Did [W] have the [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
53,Did [W] have the official [X] position? Answer is: [Y],0.0005605381165919282,yes,P39
54,Did [W] have the official [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
55,Did [W] have the official position of [X]? Answer is: [Y],0.003923766816143498,yes,P39
56,Did [W] have the official role of [X]? Answer is: [Y],0.002242152466367713,yes,P39
57,Did [W] have the position of [X]? Answer is: [Y],0.01905829596412556,yes,P39
58,Did [W] have the public [X] position? Answer is: [Y],0.0,yes,P39
59,Did [W] have the public [X] role? Answer is: [Y],0.0,yes,P39
60,Did [W] have the public position of [X]? Answer is: [Y],0.002802690582959641,yes,P39
61,Did [W] have the public role of [X]? Answer is: [Y],0.002242152466367713,yes,P39
62,Did [W] have the role of [X]? Answer is: [Y],0.004484304932735426,yes,P39
63,Did [W] hold the [X] position? Answer is: [Y],0.0,yes,P39
64,Did [W] hold the [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
65,Did [W] hold the official [X] position? Answer is: [Y],0.0,yes,P39
66,Did [W] hold the official [X] role? Answer is: [Y],0.0,yes,P39
67,Did [W] hold the official position of [X]? Answer is: [Y],0.003923766816143498,yes,P39
68,Did [W] hold the official role of [X]? Answer is: [Y],0.0005605381165919282,yes,P39
69,Did [W] hold the position of [X]? Answer is: [Y],0.005605381165919282,yes,P39
70,Did [W] hold the public [X] position? Answer is: [Y],0.0,yes,P39
71,Did [W] hold the public [X] role? Answer is: [Y],0.0,yes,P39
72,Did [W] hold the public position of [X]? Answer is: [Y],0.0005605381165919282,yes,P39
73,Did [W] hold the public role of [X]? Answer is: [Y],0.0,yes,P39
74,Did [W] hold the role of [X]? Answer is: [Y],0.0011210762331838565,yes,P39
75,Did [W] officially hold the [X] position? Answer is: [Y],0.002802690582959641,yes,P39
76,Did [W] officially hold the [X] role? Answer is: [Y],0.0016816143497757848,yes,P39
77,Did [W] officially hold the position of [X]? Answer is: [Y],0.010089686098654708,yes,P39
78,Did [W] officially hold the public [X] position? Answer is: [Y],0.0016816143497757848,yes,P39
79,Did [W] officially hold the public [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
80,Did [W] officially hold the public position of [X]? Answer is: [Y],0.005044843049327354,yes,P39
81,Did [W] officially hold the public role of [X]? Answer is: [Y],0.0011210762331838565,yes,P39
82,Did [W] officially hold the role of [X]? Answer is: [Y],0.002242152466367713,yes,P39
83,Does [W] have the [X] position? Answer is: [Y],0.0011210762331838565,yes,P39
84,Does [W] have the [X] role? Answer is: [Y],0.0016816143497757848,yes,P39
85,Does [W] have the official [X] position? Answer is: [Y],0.0,yes,P39
86,Does [W] have the official [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
87,Does [W] have the official position of [X]? Answer is: [Y],0.0,yes,P39
88,Does [W] have the official role of [X]? Answer is: [Y],0.0,yes,P39
89,Does [W] have the position of [X]? Answer is: [Y],0.006726457399103139,yes,P39
90,Does [W] have the public [X] position? Answer is: [Y],0.0,yes,P39
91,Does [W] have the public [X] role? Answer is: [Y],0.0,yes,P39
92,Does [W] have the public position of [X]? Answer is: [Y],0.0,yes,P39
93,Does [W] have the public role of [X]? Answer is: [Y],0.0,yes,P39
94,Does [W] have the role of [X]? Answer is: [Y],0.002242152466367713,yes,P39
95,Does [W] hold the [X] position? Answer is: [Y],0.0005605381165919282,yes,P39
96,Does [W] hold the [X] role? Answer is: [Y],0.0005605381165919282,yes,P39
97,Does [W] hold the official [X] position? Answer is: [Y],0.0,yes,P39
98,Does [W] hold the official [X] role? Answer is: [Y],0.0,yes,P39
99,Does [W] hold the official position of [X]? Answer is: [Y],0.0,yes,P39
100,Does [W] hold the official role of [X]? Answer is: [Y],0.0,yes,P39
101,Does [W] hold the position of [X]? Answer is: [Y],0.0005605381165919282,yes,P39
102,Does [W] hold the public [X] position? Answer is: [Y],0.0,yes,P39
103,Does [W] hold the public [X] role? Answer is: [Y],0.0,yes,P39
104,Does [W] hold the public position of [X]? Answer is: [Y],0.0,yes,P39
105,Does [W] hold the public role of [X]? Answer is: [Y],0.0,yes,P39
106,Does [W] hold the role of [X]? Answer is: [Y],0.0005605381165919282,yes,P39
107,Does [W] officially hold the [X] position? Answer is: [Y],0.002242152466367713,yes,P39
108,Does [W] officially hold the [X] role? Answer is: [Y],0.0016816143497757848,yes,P39
109,Does [W] officially hold the position of [X]? Answer is: [Y],0.002242152466367713,yes,P39
110,Does [W] officially hold the public [X] position? Answer is: [Y],0.0016816143497757848,yes,P39
111,Does [W] officially hold the public [X] role? Answer is: [Y],0.0011210762331838565,yes,P39
112,Does [W] officially hold the public position of [X]? Answer is: [Y],0.002242152466367713,yes,P39
113,Does [W] officially hold the public role of [X]? Answer is: [Y],0.0005605381165919282,yes,P39
114,Does [W] officially hold the role of [X]? Answer is: [Y],0.0011210762331838565,yes,P39
