,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? answer: [Y],0.10593654042988741,yes,P103
1,Does [W] speak [X] as a native language? answer: [Y],0.14534288638689866,yes,P103
2,Is [X] [W]'s mother tongue? answer: [Y],0.3075742067553736,yes,P103
3,Is [X] [W]'s native language? answer: [Y],0.1601842374616172,yes,P103
4,Does [W] work for [X]? answer: [Y],0.2793733681462141,yes,P108
5,Is [W] employed by [X]? answer: [Y],0.018276762402088774,yes,P108
6,Did [W] originate from [X]? answer: [Y],0.3199152542372881,yes,P19
7,Does [W] originate from [X]? answer: [Y],0.375,yes,P19
8,Is [W] a [X]-born person? answer: [Y],0.3665254237288136,yes,P19
9,Is [W] an [X]-born person? answer: [Y],0.3564618644067797,yes,P19
10,Is [W] native to [X]? answer: [Y],0.4327330508474576,yes,P19
11,Is [W] originally from [X]? answer: [Y],0.4978813559322034,yes,P19
12,Is [X] [W]'s birthplace? answer: [Y],0.4947033898305085,yes,P19
13,Is [X] [W]'s place of birth? answer: [Y],0.475635593220339,yes,P19
14,Was [W] a [X]-born person? answer: [Y],0.3956567796610169,yes,P19
15,Was [W] an [X]-born person? answer: [Y],0.368114406779661,yes,P19
16,Was [W] born in [X]? answer: [Y],0.4136652542372881,yes,P19
17,Was [W] native to [X]? answer: [Y],0.4348516949152542,yes,P19
18,Was [W] originally from [X]? answer: [Y],0.4952330508474576,yes,P19
19,Was [X] [W]'s birthplace? answer: [Y],0.4920550847457627,yes,P19
20,Was [X] [W]'s place of birth? answer: [Y],0.4041313559322034,yes,P19
21,Did [W] die at [X]? answer: [Y],0.04512067156348373,yes,P20
22,Did [W] die in [X]? answer: [Y],0.09391395592864638,yes,P20
23,Did [W] expire at [X]? answer: [Y],0.039349422875131164,yes,P20
24,Did [W] expire in [X]? answer: [Y],0.06610703043022036,yes,P20
25,Did [W] lose their life at [X]? answer: [Y],0.0062959076600209865,yes,P20
26,Did [W] lose their life in [X]? answer: [Y],0.00472193074501574,yes,P20
27,Did [W] pass away at [X]? answer: [Y],0.13326337880377753,yes,P20
