fact_x,question,accuracy
P103,Is [X] [W]'s native language? obviously [Y],0.5005117707267144
P108,Is [W] employed by [X]? obviously [Y],0.5026109660574412
P19,Was [X] [W]'s place of birth? obviously [Y],0.5079449152542372
P20,Was [X] [W]'s place of death? obviously [Y],0.5068205666316894
P279,Is [X] the class of [W]? obviously [Y],0.5108921161825726
P30,Is [X] the continent of [W]? obviously [Y],0.501025641025641
P364,Was [X] the original language of [W]? obviously [Y],0.5151869158878504
P39,Was [W]'s role that of [X]? obviously [Y],0.5022421524663676
P495,Was [W] from [X]? obviously [Y],0.5022002200220023
P740,Was [W] started in [X]? obviously [Y],0.5026709401709402
P937,Was [X] [W]'s work location? obviously [Y],0.5062893081761005
